short name,long name,url,alternative url,version,homepage,inferred
ARPENTEUR,Arpenteur Ontology,http://www.arpenteur.org/ontology/Arpenteur.owl,,0.0.18,http://www.arpenteur.org/,yes
ARM_full,Art and Rare Materials (ontology network),"Art and Rare Materials Core Ontology (0.1) https://w3id.org/arm/core/ontology/

Art and Rare Materials Custodial History Ontology (0.1) https://w3id.org/arm/custodial_history/ontology/

Art and Rare Materials Award Ontology (0.1) https://w3id.org/arm/award/ontology

Art and Rare Materials Activity Ontology (0.1) https://w3id.org/arm/activity/ontology",,0.1,,yes (inferred versions of the modules have been merged)
BIRO,Bibliographic Reference Ontology,http://purl.org/spar/biro,https://raw.githubusercontent.com/SPAROntologies/biro/master/docs/2013-05-11/biro.xml,1.1.1,,no
CULTURAL-ON,Cultural ONtology,http://dati.beniculturali.it/cis,https://raw.githubusercontent.com/italia/daf-ontologie-vocabolari-controllati/master/Ontologie/Cultural-ON/v3.2/Cultural-ON-AP_IT.ttl,3.2,,no
CWORK,Creative Work Ontology,https://www.bbc.co.uk/ontologies/creativework/1.11.ttl,,1.11,https://www.bbc.co.uk/ontologies/creativework,no
DOREMUS,DOREMUS Ontology,http://data.doremus.org/ontology#,https://raw.githubusercontent.com/DOREMUS-ANR/doremus-ontology/master/doremus.ttl,2.9,http://data.doremus.org/ontology/,no
EDM,Europeana Data Model,http://www.europeana.eu/schemas/edm/rdf/edm.owl,,5.2.4,https://pro.europeana.eu/page/edm-documentation,yes
FENTRY,F Entry (Scheda F) Ontology,https://w3id.org/people/essepuntato/fentry,https://raw.githubusercontent.com/essepuntato/fentry/master/docs/2016-12-15/fentry.xml,1,,no
GND,Gemeinsame Normdatei Ontology,https://d-nb.info/standards/elementset/gnd_20191015.rdf,https://d-nb.info/standards/elementset/gnd_20191015.rdf,1.14,https://d-nb.info/standards/elementset/gnd,yes
ATLAS-OF-PATHS,Atlas of Paths Ontology,https://w3id.org/italia/onto/AtlasOfPaths,https://raw.githubusercontent.com/italia/daf-ontologie-vocabolari-controllati/master/Ontologie/AtlasOfPaths/v0.3/AtlasOfPaths-AP_IT.rdf,0.3,http://wit.istc.cnr.it/atlas-of-paths/,yes
BIBFRAME,Bibliographic Framework,http://id.loc.gov/ontologies/bibframe.rdf,,2.0.1,https://id.loc.gov/ontologies/bibframe.html,yes
