uri,text
http://data.doremus.org/ontology#U218_used_object_of_type_for_mastering,U218 used object of type for mastering 
http://data.doremus.org/ontology#U192_used_noise_reduction_technique,U192 used noise reduction technique 
http://data.doremus.org/ontology#U29_edited,U29 edited 
http://data.doremus.org/ontology#M29_Editing,M29 Editing 
http://data.doremus.org/ontology#U191_used_equalization_technique,U191 used equalization technique 
http://data.doremus.org/ontology#U219_used_object_of_type_for_mixing,U219 used object of type for mixing 
http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression,F22 Self- Contained Expression 
http://data.doremus.org/ontology#M53_Noise_Reduction_Technique,M53 Noise Reduction Technique 
http://data.doremus.org/ontology#M52_Equalization_Technique,M52 Equalization technique 
http://data.doremus.org/ontology#M51_Type_Of_Recording_Equipment,M51 Type of recording equipment 
