uri,text
http://www.loc.gov/mods/rdf/v1#partUnit,Part - Unit 
http://www.loc.gov/mods/rdf/v1#part,part 
http://www.loc.gov/mods/rdf/v1#partEnd,part End 
http://www.loc.gov/mods/rdf/v1#partList,part List 
http://www.loc.gov/mods/rdf/v1#partName,part Name 
http://www.loc.gov/mods/rdf/v1#partStart,part Start 
http://www.loc.gov/mods/rdf/v1#Part,Part 
http://www.loc.gov/mods/rdf/v1#partDetailType,part Detail Type 
http://www.loc.gov/mods/rdf/v1#ModsResource,MODS - A  MODS Resource 
http://www.loc.gov/mods/rdf/v1#partNumber,part Number 
http://www.loc.gov/mods/rdf/v1#partType,Part - Type 
