uri,text
http://purl.org/saws/ontology#isVerbatimTranslationOf,is verbatim translation of 
http://purl.org/saws/ontology#isVerbatimOf,is verbatim of 
http://purl.org/saws/ontology#isCloseTranslationOf,is close translation of 
http://purl.org/saws/ontology#isDirectTranslationOf,is direct translation of 
http://purl.org/saws/ontology#isVersionInAnotherLanguageOf,is version (in another language) of 
http://purl.org/saws/ontology#follows,follows 
http://purl.org/saws/ontology#isVariantOf,is variant of 
http://purl.org/saws/ontology#isCloseRenderingOf,is close rendering of 
http://purl.org/saws/ontology#isLooseRenderingOf,is loose rendering of 
http://purl.org/saws/ontology#isShorterTranslationOf,is shorter translation of 
http://purl.org/saws/ontology#isLooseTranslationOf,is loose translation of 
http://purl.org/saws/ontology#isNotPresentIn,is not present in 
http://purl.org/saws/ontology#isTransliterationOf,is transliteration of 
http://purl.org/saws/ontology#isVersionOf,is version of 
http://purl.org/saws/ontology#isVariantTranslationOf,is variant translation of 
http://purl.org/saws/ontology#isShorterVersionOf,is shorter version of 
http://purl.org/saws/ontology#isLongerVersionOf,is longer version of 
http://erlangen-crm.org/current/E33_Linguistic_Object,E33 Linguistic Object 
http://purl.org/saws/ontology#isLongerTranslationOf,is longer translation of 
http://purl.org/saws/ontology#isDirectCopyOf,is direct copy of 
