0,inferred_EDM2,Preview Landing Page Web Resource Is Shown By At Object,[Preview [P]] [Landing Page [P]] [Web Resource [C]] [Is Shown By [P]] [Is Shown At [P]] [Object [P]] 
1,inferred_EDM7,Happened At Event Occured Time Span Place,[Happened At [P]] [Event [C]] [Occured At [P]] [Time Span [C]] [Place [C]] 
2,inferred_EDM3,Aggregated Cultural Heritage Object Aggregation Provided CHO,[Aggregated Cultural Heritage Object [P]] [Aggregation [C]] [Provided CHO [C]] 
3,inferred_EDM6,Web Resource Aggregation Has View,[Web Resource [C]] [Aggregation [C]] [Has View [P]] 
4,inferred_EDM5,Provider Aggregation Agent Data,[Provider [P]] [Aggregation [C]] [Agent [C]] [Data Provider [P]] 
5,inferred_EDM1,source Has Met language has Version Incorporates Is Similar To Successor Of Derivative P79 beginning is qualified by format Collection Name coverage Format creator relation type P138 represents P67 refers to Europeana URI replaces Rights contributor date P129 about Next In Sequence publisher proxy For table Contents subject Replaced By aggregates P80 end Proxy,[source [P]] [Has Met [P]] [language [P]] [has Version [P]] [Incorporates [P]] [Is Similar To [P]] [Is Successor Of [P]] [Is Derivative Of [P]] [P79 beginning is qualified by [P]] [format [P]] [Collection Name [P]] [coverage [P]] [has Format [P]] [creator [P]] [relation [P]] [type [P]] [P138 represents [P]] [P67 refers to [P]] [Europeana URI [P]] [is Version Of [P]] [replaces [P]] [Europeana Rights [P]] [contributor [P]] [date [P]] [P129 is about [P]] [Is Next In Sequence Of [P]] [is Format Of [P]] [publisher [P]] [proxy For [P]] [table Of Contents [P]] [subject [P]] [is Replaced By [P]] [aggregates [P]] [P80 end is qualified by [P]] [Europeana Proxy [P]] 
6,inferred_EDM4,Aggregated Cultural Heritage Object Europeana Aggregation Provided CHO,[Aggregated Cultural Heritage Object [P]] [Europeana Aggregation [C]] [Provided CHO [C]] 
7,inferred_EDM8,Physical Thing Information Resource Is Representation Of Realizes,[Physical Thing [C]] [Information Resource [C]] [Is Representation Of [P]] [Realizes [P]] 
8,inferred_NOMISMA1,hasMinDepth hasIconography hasPeculiarityOfProduction hasPeculiarity hasControlmark has Material hasAppearance hasShape hasManufacture hasCollection hasWidth represents Object Type hasEdge hasSecondaryTreatment hasEndDate Max Width Die hasTypeSeriesItem hasDate hasFindspot Axis hasHeight hasMinWidth Portrait hasCorrosion hasFace hasWear hasDepth hasProductionObject Diameter Issuer hasBearsDate hasReferenceWork hasAuthority hasCountermark Context hasMaxHeight hasStartDate hasProductionDate hasFindType hasReverse hasMinHeight hasStatedAuthority hasMaxDepth hasObjectType hasWeight hasMinDiameter Mintmark hasObverse hasWeightStandard hasDenomination hasMaxDiameter hasMint Legend,[hasMinDepth [P]] [hasIconography [P]] [hasPeculiarityOfProduction [P]] [hasPeculiarity [P]] [hasControlmark [P]] [has Material [P]] [hasAppearance [P]] [hasShape [P]] [hasManufacture [P]] [hasCollection [P]] [hasWidth [P]] [represents Object Type [P]] [hasEdge [P]] [hasSecondaryTreatment [P]] [hasEndDate [P]] [has Max Width [P]] [has Die [P]] [hasTypeSeriesItem [P]] [hasDate [P]] [hasFindspot [P]] [has Axis [P]] [hasHeight [P]] [hasMinWidth [P]] [has Portrait [P]] [hasCorrosion [P]] [hasFace [P]] [hasWear [P]] [hasDepth [P]] [hasProductionObject [P]] [has Diameter [P]] [has Issuer [P]] [hasBearsDate [P]] [hasReferenceWork [P]] [hasAuthority [P]] [hasCountermark [P]] [has Context [P]] [hasMaxHeight [P]] [hasStartDate [P]] [hasProductionDate [P]] [hasFindType [P]] [hasReverse [P]] [hasMinHeight [P]] [hasStatedAuthority [P]] [hasMaxDepth [P]] [hasObjectType [P]] [hasWeight [P]] [hasMinDiameter [P]] [has Mintmark [P]] [hasObverse [P]] [hasWeightStandard [P]] [hasDenomination [P]] [hasMaxDiameter [P]] [hasMint [P]] [has Legend [P]] 
9,inferred_NOMISMA2,StratigraphicUnit isEqual isBelow is Above,[StratigraphicUnit [C]] [isEqual [P]] [isBelow [P]] [is Above [P]] 
10,inferred_HOLDING3,holds held by Item Agent,[holds [P]] [held by [P]] [Item [C]] [Agent [C]] 
11,inferred_HOLDING2,has exemplar Document narrower of Item broader,[has exemplar [P]] [Document [C]] [narrower exemplar of [P]] [Item [C]] [broader exemplar of [P]] 
12,inferred_HOLDING4,Item label,[Item [C]] [label [P]] 
13,inferred_HOLDING1,Document broader exemplar is examplar of narrower Item,[Document [C]] [broader exemplar [P]] [is examplar of [P]] [narrower exemplar [P]] [Item [C]] 
14,inferred_ATLAS-OF-PATHS7,Route has route type Type,[Route [C]] [has route type [P]] [Route Type [C]] 
15,inferred_ATLAS-OF-PATHS2,Route name route length description long,[Route [C]] [name [P]] [route length [P]] [description [P]] [route long name [P]] 
16,inferred_ATLAS-OF-PATHS6,Route Value has length,[Route [C]] [Value [C]] [has length [P]] 
17,inferred_ATLAS-OF-PATHS32,has travelling method Path Plan Temporal Entity Travelling is of trip plan best when,[has travelling method [P]] [Path Plan [C]] [Temporal Entity [C]] [Path [C]] [Travelling method [C]] [is travelling method of [P]] [has trip plan [P]] [best when [P]] 
18,inferred_ATLAS-OF-PATHS3,is crossed by Route crosses Spatial Object,[is crossed by [P]] [Route [C]] [crosses [P]] [Spatial Object [C]] 
19,inferred_ATLAS-OF-PATHS5,is signposting of Signposting Path Stage has,[is signposting of [P]] [Signposting [C]] [Path Stage [C]] [has signposting [P]] 
20,inferred_ATLAS-OF-PATHS28,with paving Quantified Pathway Paving,[with paving [P]] [Quantified Pathway Paving [C]] [Paving [C]] 
21,inferred_ATLAS-OF-PATHS31,has sub trip plan Route estimated duration route Duration is of Trip Plan super,[has sub trip plan [P]] [Route [C]] [has estimated duration [P]] [has route [P]] [Duration [C]] [is trip plan of [P]] [Trip Plan [C]] [has super trip plan [P]] [has trip plan [P]] 
22,inferred_ATLAS-OF-PATHS19,Support Service Type has service type is support of,[Support Service Type [C]] [has service type [P]] [is support service type of [P]] [Support Service [C]] 
23,inferred_ATLAS-OF-PATHS4,Route has route short name,[Route [C]] [has route [P]] [route short name [P]] 
24,inferred_ATLAS-OF-PATHS29,Security Level is security level of has Pathway,[Security Level [C]] [is security level of [P]] [has security level [P]] [Pathway [C]] 
25,inferred_ATLAS-OF-PATHS30,stage ordering has member number Route position in sequence precedes follows directly of stages Path Stage,[stage ordering [P]] [has member [P]] [stage number [P]] [Route [C]] [position in sequence [P]] [precedes [P]] [follows [P]] [directly precedes [P]] [number of stages [P]] [Path Stage [C]] [directly follows [P]] [Stage [C]] 
26,inferred_ATLAS-OF-PATHS18,Path Organization is governance organ of has,[Path [C]] [Organization [C]] [is governance organ of [P]] [has governance organ [P]] 
27,inferred_ATLAS-OF-PATHS1,has alternative route Route preferred is of deviation Measurement Unit Organization Of Geometry description Type Temporal Coverage,[has alternative route [P]] [Route [C]] [has preferred route [P]] [is route of [P]] [is deviation of [P]] [has Measurement Unit [P]] [has Organization [P]] [is Organization Of [P]] [has Geometry [P]] [is alternative route of [P]] [description [P]] [has deviation [P]] [is preferred route of [P]] [has Geometry Type [P]] [has Temporal Coverage [P]] 
28,inferred_ATLAS-OF-PATHS11,Entity follows precedes directly,[Entity [C]] [follows [P]] [precedes [P]] [directly precedes [P]] [directly follows [P]] 
29,inferred_ATLAS-OF-PATHS8,Route route estimated duration,[Route [C]] [route estimated duration [P]] 
30,inferred_ATLAS-OF-PATHS25,is maintainer of has Pathway surveillance Agent,[is maintainer of [P]] [has maintainer [P]] [Pathway [C]] [is surveillance of [P]] [Agent [C]] 
31,inferred_ATLAS-OF-PATHS14,has topic Entity Topic is of,[has topic [P]] [Entity [C]] [Topic [C]] [is topic of [P]] 
32,inferred_ATLAS-OF-PATHS20,is support service of has Path Stage Support Service,[is support service of [P]] [has support service [P]] [Path Stage [C]] [Support Service [C]] 
33,inferred_ATLAS-OF-PATHS9,Feature has Spatial Coverage,[Feature [C]] [has Spatial Coverage [P]] 
34,inferred_ATLAS-OF-PATHS10,Entity is first member of has last Sequence,[Entity [C]] [is first member of [P]] [has first member [P]] [is last member of [P]] [has last member [P]] [Sequence [C]] 
35,inferred_ATLAS-OF-PATHS24,has nearby restaurant is of Restaurant Path Stage,[has nearby restaurant [P]] [is nearby restaurant of [P]] [Restaurant [C]] [Path Stage [C]] 
36,inferred_ATLAS-OF-PATHS15,has alternative route is quantified pathway paving of path number Pathway Path Quantified Paving name encounters description deviation,[has alternative route [P]] [has route [P]] [is quantified pathway paving of [P]] [path number [P]] [Pathway [C]] [Path [C]] [Quantified Pathway Paving [C]] [name [P]] [encounters path [P]] [description [P]] [has deviation [P]] 
37,inferred_ATLAS-OF-PATHS21,has nearby accomodation Accommodation is of Path Stage,[has nearby accomodation [P]] [Accommodation [C]] [is nearby accomodation of [P]] [Path Stage [C]] 
38,inferred_ATLAS-OF-PATHS13,has member Entity is of Collection,[has member [P]] [Entity [C]] [is member of [P]] [Collection [C]] 
39,inferred_ATLAS-OF-PATHS27,for pathway Pathway Path Quantified Paving has quantity of paving quantified,[for pathway [P]] [Pathway [C]] [Path [C]] [Quantified Pathway Paving [C]] [has quantity of paving [P]] [has quantified pathway paving [P]] 
40,inferred_ATLAS-OF-PATHS16,Path has Web Site,[Path [C]] [has Web Site [P]] [Web Site [C]] 
41,inferred_ATLAS-OF-PATHS22,encounters path stage has last member Path Stage Pathway,[encounters path stage [P]] [has last member [P]] [Path Stage [C]] [Pathway [C]] 
42,inferred_ATLAS-OF-PATHS12,Entity has description Description is of,[Entity [C]] [has description [P]] [Description [C]] [description [P]] [is description of [P]] 
43,inferred_ATLAS-OF-PATHS26,has member first Pathway surveillance Path Stage Agent,[has member [P]] [has first member [P]] [Pathway [C]] [has surveillance [P]] [Path Stage [C]] [Agent [C]] 
44,inferred_ATLAS-OF-PATHS17,Path is theme of Theme has,[Path [C]] [is theme of [P]] [Path Theme [C]] [has theme [P]] 
45,inferred_ATLAS-OF-PATHS23,is nearby point of interest has Path Stage Point Of Interest,[is nearby point of interest of [P]] [has nearby point of interest [P]] [Path Stage [C]] [Point Of Interest [C]] 
