uri,text
https://w3id.org/arco/ontology/context-description/historicalInterest,historical interest 
https://w3id.org/arco/ontology/denotative-description/handwriting,handwriting 
https://w3id.org/arco/ontology/movable-property/pseudomorph,pseudomorph 
https://w3id.org/arco/ontology/movable-property/polytype,polytype 
https://w3id.org/arco/ontology/movable-property/paramorph,paramorph 
https://w3id.org/arco/ontology/movable-property/zoning,zoning 
https://w3id.org/arco/ontology/denotative-description/CulturalEntityTechnicalStatus,Technical status of cultural entity 
https://w3id.org/arco/ontology/movable-property/Specimen,Specimen 
https://w3id.org/arco/ontology/movable-property/radioactivity,radioactivity 
https://w3id.org/arco/ontology/core/current,current 
