uri,text
https://w3id.org/arm/core/ontology/0.1/isStylePeriodOf,is style/period of 
https://w3id.org/arm/core/ontology/0.1/covers,covers 
https://w3id.org/arm/core/ontology/0.1/isArrangementOf,is arrangement of 
https://w3id.org/arm/core/ontology/0.1/describedBy,described by 
https://w3id.org/arm/core/ontology/0.1/coveredIn,covered in 
https://w3id.org/arm/core/ontology/0.1/hasStyle,has style 
https://w3id.org/arm/core/ontology/0.1/isAppliedMaterialOf,is applied material of 
http://id.loc.gov/ontologies/bibframe/title,title 
https://w3id.org/arm/core/ontology/0.1/hasStylePeriod,has style/period 
https://w3id.org/arm/core/ontology/0.1/atLocation,at location 
https://w3id.org/arm/core/ontology/0.1/hasMaterial,has material 
https://w3id.org/arm/core/ontology/0.1/isMaterialOf,has material 
http://id.loc.gov/ontologies/bibframe/agent,agent 
http://rdaregistry.info/Elements/u/P60596,P60596 
https://w3id.org/arm/core/ontology/0.1/carries,carries 
https://w3id.org/arm/core/ontology/0.1/hasSource,has source 
https://w3id.org/arm/core/ontology/0.1/cites,cites 
https://w3id.org/arm/core/ontology/0.1/isLocationOf,is location of 
http://id.loc.gov/ontologies/bibframe/note,note 
https://w3id.org/arm/core/ontology/0.1/hasCitation,has citation 
https://w3id.org/arm/core/ontology/0.1/isOnCarrier,is on carrier 
https://w3id.org/arm/core/ontology/0.1/hasInput,has input 
https://w3id.org/arm/core/ontology/0.1/hasArrangement,has arrangement 
https://w3id.org/arm/core/ontology/0.1/citedBy,cited by 
https://w3id.org/arm/core/ontology/0.1/hasOrigin,has origin 
http://id.loc.gov/ontologies/bibframe/relatedTo,related To 
https://w3id.org/arm/core/ontology/0.1/isBaseMaterialOf,is base material of 
https://w3id.org/arm/core/ontology/0.1/isColorContentOf,is color content of 
https://w3id.org/arm/core/ontology/0.1/isSourceOf,is source of 
https://w3id.org/arm/core/ontology/0.1/writtenIn,written in 
https://w3id.org/arm/core/ontology/0.1/describes,describes 
http://rdaregistry.info/Elements/u/P60159,P60159 
https://w3id.org/arm/core/ontology/0.1/subjectOf,subject of 
https://w3id.org/arm/core/ontology/0.1/isInputTo,is input to 
