uri,text
http://www.w3.org/2006/time#intervalBefore,interval Before 
http://www.w3.org/2006/time#intervalDuring,interval During 
http://www.w3.org/2006/time#intervalEquals,interval Equals 
http://www.w3.org/2006/time#intervalMetBy,interval met by 
http://www.w3.org/2006/time#intervalMeets,interval meets 
http://www.w3.org/2006/time#intervalOverlaps,interval overlaps 
http://www.w3.org/2006/time#intervalFinishedBy,interval finished by 
http://www.w3.org/2006/time#ProperInterval,ProperInterval 
http://www.w3.org/2006/time#intervalOverlappedBy,interval overlapped by 
http://www.w3.org/2006/time#intervalStarts,interval starts 
http://www.w3.org/2006/time#intervalFinishes,interval finishes 
http://www.w3.org/2006/time#intervalContains,interval Contains 
http://www.w3.org/2006/time#intervalAfter,interval After 
http://www.w3.org/2006/time#intervalStartedBy,interval started by 
