uri,text
https://w3id.org/italia/onto/Route/hasAltRoute,has alternative route 
https://w3id.org/italia/onto/Route/Route,Route 
https://w3id.org/italia/onto/Route/hasPrefRoute,has preferred route 
https://w3id.org/italia/onto/Route/isRouteOf,is route of 
https://w3id.org/italia/onto/Route/isDeviationOf,is deviation of 
https://w3id.org/italia/onto/MU/hasMeasurementUnit,has Measurement Unit 
https://w3id.org/italia/onto/COV/hasOrganization,has Organization 
https://w3id.org/italia/onto/COV/isOrganizationOf,is Organization Of 
https://w3id.org/italia/onto/CLV/hasGeometry,has Geometry 
https://w3id.org/italia/onto/Route/isAltRouteOf,is alternative route of 
https://w3id.org/italia/onto/l0/description,description 
https://w3id.org/italia/onto/Route/hasDeviation,has deviation 
https://w3id.org/italia/onto/Route/isPrefRouteOf,is preferred route of 
https://w3id.org/italia/onto/CLV/hasGeometryType,has Geometry Type 
https://w3id.org/italia/onto/TI/hasTemporalCoverage,has Temporal Coverage 
