uri,text
http://id.loc.gov/ontologies/bibframe/seriesStatement,series Statement 
http://id.loc.gov/ontologies/bibframe/dimensions,dimensions 
http://id.loc.gov/ontologies/bibframe/Work,Work 
http://id.loc.gov/ontologies/bibframe/reproductionOf,Reproduction of 
http://id.loc.gov/ontologies/bibframe/subseriesStatement,subseries Statement 
http://id.loc.gov/ontologies/bibframe/editionEnumeration,Edition enumeration 
http://id.loc.gov/ontologies/bibframe/responsibilityStatement,Creative responsibility statement 
http://id.loc.gov/ontologies/bibframe/provisionActivityStatement,provision Activity Statement 
http://id.loc.gov/ontologies/bibframe/seriesEnumeration,Series enumeration 
http://id.loc.gov/ontologies/bibframe/hasReproduction,Reproduced as 
http://id.loc.gov/ontologies/bibframe/otherPhysicalFormat,Has other physical format 
http://id.loc.gov/ontologies/bibframe/subseriesEnumeration,Subseries enumeration 
http://id.loc.gov/ontologies/bibframe/Instance,Instance 
http://id.loc.gov/ontologies/bibframe/hasInstance,Instance of Work 
http://id.loc.gov/ontologies/bibframe/editionStatement,Edition statement 
http://id.loc.gov/ontologies/bibframe/issuedWith,Issued with 
http://id.loc.gov/ontologies/bibframe/instanceOf,Instance of 
