uri,text
http://bibliotek-o.org/1.1/ontology/hasSource,has source 
http://www.w3.org/ns/oa#hasTarget,has Target 
http://bibliotek-o.org/1.1/ontology/isSubjectOf,is subject of 
http://id.loc.gov/ontologies/bibframe/title,title 
http://bibliotek-o.org/1.1/ontology/coveredIn,covered in 
http://purl.org/dc/terms/subject,subject 
http://bibliotek-o.org/1.1/ontology/isSourceOf,is source of 
http://bibliotek-o.org/1.1/ontology/hasCoverArt,has cover art 
http://bibliotek-o.org/1.1/ontology/covers,covers 
http://bibliotek-o.org/1.1/ontology/hasOrigin,has origin 
