uri,text
http://purl.org/ontology/bibo/cites,cites 
http://purl.org/ontology/bibo/numPages,number of pages 
http://purl.org/ontology/bibo/volume,volume 
http://purl.org/ontology/bibo/pageEnd,page end 
http://purl.org/ontology/bibo/pages,pages 
http://purl.org/ontology/bibo/shortDescription,short Description 
http://purl.org/ontology/bibo/Document,Document 
http://purl.org/ontology/bibo/citedBy,cited by 
http://purl.org/ontology/bibo/reproducedIn,reproduced In 
http://purl.org/ontology/bibo/translationOf,translation of 
http://purl.org/ontology/bibo/edition,edition 
