uri,text
http://www.cidoc-crm.org/cidoc-crm/P21i_was_purpose_of,was purpose of 
http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by,carried out by 
http://www.cidoc-crm.org/cidoc-crm/P134i_was_continued_by,was continued by 
http://www.cidoc-crm.org/cidoc-crm/P21_had_general_purpose,had general purpose 
http://www.cidoc-crm.org/cidoc-crm/P134_continued,continued 
http://www.cidoc-crm.org/cidoc-crm/E55_Type,Type 
http://www.cidoc-crm.org/cidoc-crm/P17i_motivated,motivated 
http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity,CRM Entity 
http://www.cidoc-crm.org/cidoc-crm/E39_Actor,Actor 
http://www.cidoc-crm.org/cidoc-crm/E7_Activity,Activity 
http://www.cidoc-crm.org/cidoc-crm/P14i_performed,performed 
http://www.cidoc-crm.org/cidoc-crm/P125i_was_type_of_object_used_in,was type of object used in 
http://www.cidoc-crm.org/cidoc-crm/P32i_was_technique_of,was technique of 
