uri,text
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP2_discarded_into,discarded into 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP4i_was_surface_produced_by,was surface produced by 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP2i_was_discarded_by,was discarded by 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP1i_was_produced_by,was produced by 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/A1_Excavation_Process_Unit,Excavation Process Unit 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP10i_was_destroyed_by,was destroyed by 
http://www.cidoc-crm.org/cidoc-crm/CRMsci/S22_Segment_of_Matter,S22 Segment of Matter 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP10_destroyed,destroyed 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP4_produced_surface,produced surface 
http://www.cidoc-crm.org/cidoc-crm/CRMsci/S11_Amount_of_Matter,S11 Amount of Matter 
http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/AP1_produced,produced 
http://www.cidoc-crm.org/cidoc-crm/CRMsci/S20_Physical_Feature,S20 Physical Feature 
