uri,text
http://culturalis.org/eac-cpf#Entity,entity 
http://culturalis.org/eac-cpf#hasMultipleIdentities,multiple identities 
http://culturalis.org/eac-cpf#localTypeDeclaration,Local Type Declaration 
http://culturalis.org/eac-cpf#maintenanceHistory,Maintenance History 
http://culturalis.org/eac-cpf#publicationStatus,Publication Status 
http://culturalis.org/eac-cpf#maintenanceStatus,Maintenance Status 
http://culturalis.org/eac-cpf#function,Function 
http://culturalis.org/eac-cpf#languageUsed,Languages Used 
http://culturalis.org/eac-cpf#existDates,dates of existence 
http://culturalis.org/eac-cpf#localControl,local Control 
http://culturalis.org/eac-cpf#conventionDeclaration,Convention Declaration 
http://culturalis.org/eac-cpf#maintenanceAgency,maintenance Agency 
