uri,text
http://purl.org/vocab/frbr/core#abridgementOf,is abridgement of 
http://purl.org/dc/terms/creator,has creator 
http://purl.org/vocab/frbr/core#realizerOf,is realizer of 
http://purl.org/vocab/frbr/core#ownerOf,is owner of 
http://purl.org/vocab/frbr/core#reconfigurationOf,is reconfiguration of 
http://purl.org/vocab/frbr/core#alternateOf,is alternate of 
http://purl.org/vocab/frbr/core#realizationOf,is realization of 
http://purl.org/vocab/frbr/core#Item,item 
http://purl.org/vocab/frbr/core#reproductionOf,is reproduction of 
http://purl.org/vocab/frbr/core#creatorOf,is creator of 
http://purl.org/dc/terms/publisher,has publisher 
http://purl.org/vocab/frbr/core#revisionOf,is revision of 
http://purl.org/dc/terms/rights,has rights 
http://purl.org/vocab/frbr/core#complementOf,is complement of 
http://purl.org/vocab/frbr/core#producerOf,is producer of 
http://purl.org/vocab/frbr/core#responsibleEntityOf,is responsible entity of 
http://purl.org/vocab/frbr/core#translationOf,is translation of 
http://purl.org/vocab/frbr/core#supplementOf,is supplement of 
http://purl.org/vocab/frbr/core#partOf,is part of 
http://purl.org/vocab/frbr/core#subjectOf,is subject of 
http://purl.org/vocab/frbr/core#embodimentOf,is embodiment of 
http://purl.org/dc/terms/format,has format 
http://purl.org/dc/terms/license,has license 
http://purl.org/vocab/frbr/core#arrangementOf,is arrangement of 
http://purl.org/vocab/frbr/core#owner,has owner 
http://purl.org/vocab/frbr/core#summarizationOf,is summarization of 
http://purl.org/vocab/frbr/core#imitationOf,is imitation of 
http://purl.org/vocab/frbr/core#transformationOf,is transformation of 
http://purl.org/vocab/frbr/core#part,has part 
http://purl.org/spar/fabio/hasPrimarySubjectTerm,has primary subject term 
http://purl.org/dc/terms/language,has language 
http://purl.org/vocab/frbr/core#exemplarOf,is exemplar of 
http://purl.org/vocab/frbr/core#successorOf,is successor of 
http://purl.org/vocab/frbr/core#adaptionOf,is adaption of 
