uri,text
http://iflastandards.info/ns/fr/frad/P2017,has derivative 
http://iflastandards.info/ns/fr/frad/P2030,has accompanying relationship 
http://iflastandards.info/ns/fr/frad/P2021,is creator (family) of 
http://iflastandards.info/ns/fr/frad/P2020,is created by (family) 
http://iflastandards.info/ns/fr/frad/C1002,Family 
http://iflastandards.info/ns/fr/frbr/frbrer/C1001,C1001 
http://iflastandards.info/ns/fr/frad/P4046,has as subject (family) 
http://iflastandards.info/ns/fr/frad/P2018,is derivative of 
http://iflastandards.info/ns/fr/frad/P2029,has sequential relationship 
http://iflastandards.info/ns/fr/frad/P2031,has shared characteristic (work) relationship 
