uri,text
http://purl.org/vocab/frbr/core#Manifestation,manifestation 
http://purl.org/vocab/frbr/core#translation,translation 
http://purl.org/vocab/frbr/core#abridgement,abridgement 
http://purl.org/vocab/frbr/core#embodimentOf,embodiment of 
http://purl.org/vocab/frbr/core#abridgementOf,abridgement of 
http://purl.org/vocab/frbr/core#arrangementOf,arrangement of 
http://purl.org/vocab/frbr/core#revisionOf,revision of 
http://purl.org/vocab/frbr/core#embodiment,embodiment 
http://purl.org/vocab/frbr/core#arrangement,arrangement 
http://purl.org/vocab/frbr/core#translationOf,translation of 
http://purl.org/vocab/frbr/core#Expression,expression 
http://purl.org/vocab/frbr/core#revision,revision 
