uri,text
http://purl.org/vocab/frbr/extended#isASuccessorToWork,is a sucessor to work 
http://purl.org/vocab/frbr/extended#complementsWork,complements work 
http://purl.org/vocab/frbr/extended#isAnAlternativeManifestationTo,is an alternative manifestation to 
http://purl.org/vocab/frbr/core#Endeavour,Endeavour 
http://purl.org/vocab/frbr/extended#isATransformationOfWork,is a transformation of work 
http://purl.org/vocab/frbr/extended#referentiallyComplementsWork,referentially complements work 
http://purl.org/vocab/frbr/core#Work,Work 
http://purl.org/vocab/frbr/extended#isAReproductionOfManifestation,is a reproduction of manifestation 
http://purl.org/vocab/frbr/extended#supplementsWork,supplements work 
http://purl.org/vocab/frbr/core#relatedEndeavour,related Endeavour 
http://purl.org/vocab/frbr/extended#isAnImitationOfWork,is an imitation of work 
