uri,text
http://iflastandards.info/ns/fr/frbr/frbroo/R49_assigned,assigned 
http://iflastandards.info/ns/fr/frbr/frbroo/CLP46_should_be_composed_of,should be composed of 
http://iflastandards.info/ns/fr/frbr/frbroo/F41_Representative_Manifestation_Assignment,Representative Manifestation Assignment 
http://iflastandards.info/ns/fr/frbr/frbroo/F2_Expression,Expression 
http://iflastandards.info/ns/fr/frbr/frbroo/R49i_was_assigned_by,was assigned by 
http://iflastandards.info/ns/fr/frbr/frbroo/R41_has_rep_manifestation_product_type,has rep manifestation product type 
http://iflastandards.info/ns/fr/frbr/frbroo/CLP46i_may_form_part_of,may form part of 
http://iflastandards.info/ns/fr/frbr/frbroo/R4i_comprises_carriers_of,comprises carriers of 
http://iflastandards.info/ns/fr/frbr/frbroo/R4_carriers_provided_by,carriers provided by 
http://iflastandards.info/ns/fr/frbr/frbroo/R41i_is_rep_manifestation_product_type_for,is rep manifestation product type for 
http://iflastandards.info/ns/fr/frbr/frbroo/F3_Manifestation_Product_Type,Manifestation Product Type 
