uri,text
https://d-nb.info/standards/elementset/gnd#nameAddition,Name addition 
https://d-nb.info/standards/elementset/gnd#epithetGenericNameTitleOrTerritory,"Epithet, generic name, title or territory "
https://d-nb.info/standards/elementset/gnd#prefix,Prefix 
https://d-nb.info/standards/elementset/gnd#NameOfThePerson,Name of the person 
https://d-nb.info/standards/elementset/gnd#personalName,Personal name 
https://d-nb.info/standards/elementset/gnd#forename,Forename 
https://d-nb.info/standards/elementset/gnd#surname,Surname 
https://d-nb.info/standards/elementset/gnd#preferredNameForTheFamily,Preferred name for the family 
https://d-nb.info/standards/elementset/gnd#variantNameForTheFamily,Variant name for the family 
https://d-nb.info/standards/elementset/gnd#counting,Counting 
https://d-nb.info/standards/elementset/gnd#Family,Family 
