uri,text
http://www.w3.org/2004/02/skos/core#topConceptOf,top Concept Of 
http://www.w3.org/2004/02/skos/core#exactMatch,exact Match 
http://www.loc.gov/mads/rdf/v1#hasBroaderExternalAuthority,Has Broader External Authority 
http://www.loc.gov/mads/rdf/v1#hasBroaderAuthority,Has Broader Authority 
http://www.loc.gov/mads/rdf/v1#extension,extension 
http://www.loc.gov/mads/rdf/v1#hasLaterEstablishedForm,Has Later Established Form 
http://xmlns.com/foaf/0.1/focus,focus 
http://www.loc.gov/mads/rdf/v1#hasReciprocalExternalAuthority,Has Reciprocal External Authority 
http://www.w3.org/2008/05/skos-xl#hiddenLabel,hidden Label 
http://www.loc.gov/mads/rdf/v1#hasEarlierEstablishedForm,Has Earlier Established Form 
http://www.loc.gov/mads/rdf/v1#hasDemonym,Has Demonym 
http://www.w3.org/2004/02/skos/core#member,member 
http://www.loc.gov/mads/rdf/v1#hasCloseExternalAuthority,Has Close External Authority 
http://www.loc.gov/mads/rdf/v1#hasReciprocalAuthority,Has Reciprocal Authority 
http://www.w3.org/2008/05/skos-xl#altLabel,alt Label 
http://www.loc.gov/mads/rdf/v1#hasTranslationVariant,Has Translation Variant 
http://www.loc.gov/mads/rdf/v1#hasNarrowerAuthority,Has Narrower Authority 
http://www.w3.org/2004/02/skos/core#relatedMatch,related Match 
http://www.w3.org/2004/02/skos/core#hasTopConcept,has Top Concept 
http://www.loc.gov/mads/rdf/v1#useInstead,Use Instead 
http://www.loc.gov/mads/rdf/v1#hasChararacteristic,Other characteristic 
http://www.loc.gov/mads/rdf/v1#hasExpansionVariant,Has Expansion Variant 
http://www.w3.org/2004/02/skos/core#broader,broader 
http://www.w3.org/2004/02/skos/core#related,related 
http://www.w3.org/2004/02/skos/core#inScheme,in Scheme 
http://www.loc.gov/mads/rdf/v1#useFor,use For 
http://www.w3.org/2004/02/skos/core#broadMatch,broad Match 
http://www.loc.gov/mads/rdf/v1#hasExactExternalAuthority,Has Exact External Authority 
http://www.loc.gov/mads/rdf/v1#hasAbbreviationVariant,Has Abbreviation Variant 
http://www.w3.org/2004/02/skos/core#narrowMatch,narrow Match 
http://www.w3.org/2004/02/skos/core#narrower,narrower 
http://www.w3.org/2004/02/skos/core#closeMatch,close Match 
http://www.loc.gov/mads/rdf/v1#isDemonymFor,Is Demonym For 
http://www.loc.gov/mads/rdf/v1#hasAcronymVariant,Has Acronym Variant 
http://www.loc.gov/mads/rdf/v1#hasNarrowerExternalAuthority,Has Narrower External Authority 
