uri,text
http://nomisma.org/ontology#hasMinDepth,hasMinDepth 
http://nomisma.org/ontology#hasIconography,hasIconography 
http://nomisma.org/ontology#hasPeculiarityOfProduction,hasPeculiarityOfProduction 
http://nomisma.org/ontology#hasPeculiarity,hasPeculiarity 
http://nomisma.org/ontology#hasControlmark,hasControlmark 
http://nomisma.org/ontology#hasMaterial,has Material 
http://nomisma.org/ontology#hasAppearance,hasAppearance 
http://nomisma.org/ontology#hasShape,hasShape 
http://nomisma.org/ontology#hasManufacture,hasManufacture 
http://nomisma.org/ontology#hasCollection,hasCollection 
http://nomisma.org/ontology#hasWidth,hasWidth 
http://nomisma.org/ontology#representsObjectType,represents Object Type 
http://nomisma.org/ontology#hasEdge,hasEdge 
http://nomisma.org/ontology#hasSecondaryTreatment,hasSecondaryTreatment 
http://nomisma.org/ontology#hasEndDate,hasEndDate 
http://nomisma.org/ontology#hasMaxWidth,has Max Width 
http://nomisma.org/ontology#hasDie,has Die 
http://nomisma.org/ontology#hasTypeSeriesItem,hasTypeSeriesItem 
http://nomisma.org/ontology#hasDate,hasDate 
http://nomisma.org/ontology#hasFindspot,hasFindspot 
http://nomisma.org/ontology#hasAxis,has Axis 
http://nomisma.org/ontology#hasHeight,hasHeight 
http://nomisma.org/ontology#hasMinWidth,hasMinWidth 
http://nomisma.org/ontology#hasPortrait,has Portrait 
http://nomisma.org/ontology#hasCorrosion,hasCorrosion 
http://nomisma.org/ontology#hasFace,hasFace 
http://nomisma.org/ontology#hasWear,hasWear 
http://nomisma.org/ontology#hasDepth,hasDepth 
http://nomisma.org/ontology#hasProductionObject,hasProductionObject 
http://nomisma.org/ontology#hasDiameter,has Diameter 
http://nomisma.org/ontology#hasIssuer,has Issuer 
http://nomisma.org/ontology#hasBearsDate,hasBearsDate 
http://nomisma.org/ontology#hasReferenceWork,hasReferenceWork 
http://nomisma.org/ontology#hasAuthority,hasAuthority 
http://nomisma.org/ontology#hasCountermark,hasCountermark 
http://nomisma.org/ontology#hasContext,has Context 
http://nomisma.org/ontology#hasMaxHeight,hasMaxHeight 
http://nomisma.org/ontology#hasStartDate,hasStartDate 
http://nomisma.org/ontology#hasProductionDate,hasProductionDate 
http://nomisma.org/ontology#hasFindType,hasFindType 
http://nomisma.org/ontology#hasReverse,hasReverse 
http://nomisma.org/ontology#hasMinHeight,hasMinHeight 
http://nomisma.org/ontology#hasStatedAuthority,hasStatedAuthority 
http://nomisma.org/ontology#hasMaxDepth,hasMaxDepth 
http://nomisma.org/ontology#hasObjectType,hasObjectType 
http://nomisma.org/ontology#hasWeight,hasWeight 
http://nomisma.org/ontology#hasMinDiameter,hasMinDiameter 
http://nomisma.org/ontology#hasMintmark,has Mintmark 
http://nomisma.org/ontology#hasObverse,hasObverse 
http://nomisma.org/ontology#hasWeightStandard,hasWeightStandard 
http://nomisma.org/ontology#hasDenomination,hasDenomination 
http://nomisma.org/ontology#hasMaxDiameter,hasMaxDiameter 
http://nomisma.org/ontology#hasMint,hasMint 
http://nomisma.org/ontology#hasLegend,has Legend 
