uri,text
http://culturalis.org/oad#accruals,Accruals 
http://culturalis.org/oad#title,Title 
http://culturalis.org/oad#scopeAndContent,Scope and content 
http://culturalis.org/oad#note,Note 
http://culturalis.org/oad#Instance,Archival instance 
http://culturalis.org/oad#conditionsGoverningReproduction,Conditions governing reproduction 
http://culturalis.org/oad#appraisalDestructionAndSchedulingInformation,"Appraisal, destruction and scheduling information "
http://culturalis.org/oad#physicalCharacteristicsAndTechnicalRequirements,Physical characteristics and technical requirements 
http://culturalis.org/oad#archivistsNote,Archivist's Note 
http://culturalis.org/oad#extentAndMedium,"Extent and medium of the unit of description (quantity, bulk, or size) "
http://culturalis.org/oad#existenceAndLocationOfCopies,Existence and location of copies 
