uri,text
http://www.w3.org/2004/02/skos/core#Concept,Concept 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#nextStanza,nextStanza 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#isTheSameAs,isTheSameAs 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#hasFirstLine,hasFirstLine 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#paraphrasis,paraphrasis 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#isFirstLine,isFirstLine 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#previousStanza,previousStanza 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#isFirstStanza,isFirstStanza 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#isRefrainOmitted,isRefrainOmitted 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#Stanza,Stanza 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#Line,Line 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#hasStanzaItem,hasStanzaItem 
http://postdata.linhd.uned.es/ontology/postdata-core#Redaction,Redaction 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#OrderedStanzaList,OrderedStanzaList 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#typeOfStanzaEdition,typeOfStanzaEdition 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#typeOfStanza,typeOfStanza 
http://postdata.linhd.uned.es/ontology/postdata-structuralElements#belongsToStanza,belongsToStanza 
