uri,text
http://iflastandards.info/ns/fr/frbr/pressoo/Y25_foresees_association_with,foresees association with 
http://iflastandards.info/ns/fr/frbr/pressoo/Z12_Issuing_Rule,Issuing Rule 
http://iflastandards.info/ns/fr/frbr/pressoo/Y37_has_former_or_current_issuing_rule,has former or current issuing rule 
http://iflastandards.info/ns/fr/frbr/pressoo/Y27_foresees_translation_in,foresees translation in 
http://iflastandards.info/ns/fr/frbr/pressoo/Y27i_foresees_translation_of,foresees translation of 
http://iflastandards.info/ns/fr/frbr/pressoo/Y26i_foresees_to_be_another_edition_of,foresees to be another edition of 
http://iflastandards.info/ns/fr/frbr/pressoo/Y37i_is_former_or_current_issuing_rule_of,is former or current issuing rule of 
http://iflastandards.info/ns/fr/frbr/pressoo/Y38i_is_current_issuing_rule_of,is current issuing rule of 
http://iflastandards.info/ns/fr/frbr/pressoo/Y25i_has_association_foreseen_in,has association foreseen in 
http://iflastandards.info/ns/fr/frbr/pressoo/Y26_foresees_other_edition,foresees other edition 
http://iflastandards.info/ns/fr/frbr/pressoo/Y38_has_current_issuing_rule,has current issuing rule 
http://iflastandards.info/ns/fr/frbr/frbroo/F18_Serial_Work,F18 Serial Work 
