uri,text
http://rdaregistry.info/Elements/u/P60598,has date of death 
http://rdaregistry.info/Elements/u/P60145,P60145 
http://rdaregistry.info/Elements/u/P60029,is storyteller of 
http://rdaregistry.info/Elements/u/P60575,is absorption in part of 
http://rdaregistry.info/Elements/u/P60706,is screenwriter of 
http://rdaregistry.info/Elements/u/P60549,has preferred name of agent 
http://rdaregistry.info/Elements/u/P60826,has commissioning body 
http://rdaregistry.info/Elements/u/P60836,has researcher 
http://rdaregistry.info/Elements/u/P60858,is assistant to 
http://rdaregistry.info/Elements/u/P60972,is place of publication of 
http://rdaregistry.info/Elements/u/P60987,has place associated with resource (Deprecated) 
http://rdaregistry.info/Elements/u/P60188,is adapted as radio script 
http://rdaregistry.info/Elements/u/P60643,is platemaker of 
http://rdaregistry.info/Elements/u/P60026,is commentator of 
http://rdaregistry.info/Elements/u/P60069,has copyright date 
http://rdaregistry.info/Elements/u/P60264,has screenplay 
http://rdaregistry.info/Elements/u/P60863,has teacher 
http://rdaregistry.info/Elements/u/P60952,is variant name of entity of 
http://rdaregistry.info/Elements/u/P60659,is interviewer of 
http://rdaregistry.info/Elements/u/P60700,is annotator of 
http://rdaregistry.info/Elements/u/P60154,has storyteller 
http://rdaregistry.info/Elements/u/P60431,has artist 
http://rdaregistry.info/Elements/u/P60387,has performer 
http://rdaregistry.info/Elements/u/P60011,is television director of 
http://rdaregistry.info/Elements/u/P60640,is printmaker of 
http://rdaregistry.info/Elements/u/P60641,is caster of 
http://rdaregistry.info/Elements/u/P60720,is opera adaptation of 
http://rdaregistry.info/Elements/u/P60616,is court reporter of 
http://rdaregistry.info/Elements/u/P60724,is music for 
http://rdaregistry.info/Elements/u/P60758,is calligrapher of 
http://rdaregistry.info/Elements/u/P60457,has appellant 
http://rdaregistry.info/Elements/u/P60433,has choreographer 
http://rdaregistry.info/Elements/u/P60732,has motion picture music 
http://rdaregistry.info/Elements/u/P60507,has parallel other title information 
http://rdaregistry.info/Elements/u/P60926,has variant name of timespan 
http://rdaregistry.info/Elements/u/P61042,has related resource of entity 
http://rdaregistry.info/Elements/u/P60648,has member of 
http://rdaregistry.info/Elements/u/P60420,has degree supervisor 
http://rdaregistry.info/Elements/u/P60881,is remix artist of 
http://rdaregistry.info/Elements/u/P60665,is filmmaker of 
http://rdaregistry.info/Elements/u/P61024,has related nomen of timespan 
http://rdaregistry.info/Elements/u/P60548,has preferred name of place 
http://rdaregistry.info/Elements/u/P60920,is name of agent of 
http://rdaregistry.info/Elements/u/P60675,has sponsored resource of agent 
http://rdaregistry.info/Elements/u/P60358,has earlier title proper (Deprecated) 
http://rdaregistry.info/Elements/u/P61036,has related entity of place 
http://rdaregistry.info/Elements/u/P60816,is degree committee member of 
http://rdaregistry.info/Elements/u/P60032,is medium of 
http://rdaregistry.info/Elements/u/P60716,has writer of postface (Deprecated) 
http://rdaregistry.info/Elements/u/P60974,is date associated with agent of 
http://rdaregistry.info/Elements/u/P60160,has place of distribution 
http://rdaregistry.info/Elements/u/P60642,is lithographer of 
http://rdaregistry.info/Elements/u/P60727,has television program music 
http://rdaregistry.info/Elements/u/P60392,has writer of supplementary textual content (Deprecated) 
http://rdaregistry.info/Elements/u/P61052,is sounds for 
http://rdaregistry.info/Elements/u/P60478,has librettist 
http://rdaregistry.info/Elements/u/P60614,is art director of 
http://rdaregistry.info/Elements/u/P60862,has student 
http://rdaregistry.info/Elements/u/P60834,has participant in treaty 
http://rdaregistry.info/Elements/u/P60722,is adapted as opera 
http://rdaregistry.info/Elements/u/P61056,is sequential version of 
http://rdaregistry.info/Elements/u/P60010,is radio director of 
http://rdaregistry.info/Elements/u/P60807,has graduate 
http://rdaregistry.info/Elements/u/P60177,is abstracted in 
http://rdaregistry.info/Elements/u/P60504,is merged to form 
http://rdaregistry.info/Elements/u/P60086,has television director 
http://rdaregistry.info/Elements/u/P60097,has jurisdiction governed 
http://rdaregistry.info/Elements/u/P60447,has creator 
http://rdaregistry.info/Elements/u/P61085,has editor of text 
http://rdaregistry.info/Elements/u/P60151,has commentator 
http://rdaregistry.info/Elements/u/P61108,is copyright date of 
http://rdaregistry.info/Elements/u/P60293,is choreographic adaptation of 
http://rdaregistry.info/Elements/u/P60174,is adapted as radio program 
http://rdaregistry.info/Elements/u/P60506,has equinox 
http://rdaregistry.info/Elements/u/P60546,has name of manufacturer 
http://rdaregistry.info/Elements/u/P61095,is civil defendant of 
http://rdaregistry.info/Elements/u/P61098,has research supervisor 
http://rdaregistry.info/Elements/u/P60223,is abridgement of 
http://rdaregistry.info/Elements/u/P61022,has related nomen of agent 
http://rdaregistry.info/Elements/u/P61040,has related place of entity 
http://rdaregistry.info/Elements/u/P60729,has radio program music 
http://rdaregistry.info/Elements/u/P60462,has defendant 
http://rdaregistry.info/Elements/u/P60556,has place of capture 
http://rdaregistry.info/Elements/u/P60245,is revised as 
http://rdaregistry.info/Elements/u/P61062,has regional version 
http://rdaregistry.info/Elements/u/P60400,has current owner 
http://rdaregistry.info/Elements/u/P60923,is preferred name of place of 
