uri,text
https://www.ica.org/standards/RiC/ontology#Agent,Agent 
https://www.ica.org/standards/RiC/ontology#isOrWasEnforcedBy,is or was enforced by 
https://www.ica.org/standards/RiC/ontology#isOrWasRegulatedBy,is or was regulated by 
https://www.ica.org/standards/RiC/ontology#isResponsibleForIssuing,is responsible for issuing  
https://www.ica.org/standards/RiC/ontology#isOrWasExpressedBy,is or was expressed by 
https://www.ica.org/standards/RiC/ontology#isAssociatedWithRule,is associated with rule  
https://www.ica.org/standards/RiC/ontology#Thing,Thing 
https://www.ica.org/standards/RiC/ontology#isOrWasResponsibleForEnforcing,is or was responsible for enforcing 
https://www.ica.org/standards/RiC/ontology#RecordResource,Record Resource 
https://www.ica.org/standards/RiC/ontology#issuedBy,issued by  
https://www.ica.org/standards/RiC/ontology#ruleIsSourceOfRuleRelation,rule is source of rule relation  
https://www.ica.org/standards/RiC/ontology#RuleRelation,Rule Relation 
https://www.ica.org/standards/RiC/ontology#expressesOrExpressed,expresses or expressed 
https://www.ica.org/standards/RiC/ontology#isRuleAssociatedWith,is rule associated with  
https://www.ica.org/standards/RiC/ontology#regulatesOrRegulated,regulates or regulated 
https://www.ica.org/standards/RiC/ontology#Rule,Rule 
