community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_EDM2,0,Preview Landing Page Web Resource Is Shown By At Object,[Preview [P]] [Landing Page [P]] [Web Resource [C]] [Is Shown By [P]] [Is Shown At [P]] [Object [P]] ,"frame:Architectural_part,frame:Possession,frame:Cause_to_perceive,","wn30:synset-preview-noun-2,wn30:synset-landing-noun-1,wn30:synset-page-noun-1,wn30:synset-web-noun-1,wn30:synset-resource-noun-1,wn30:synset-show-verb-1,wn30:synset-by-adverb-1,wn30:synset-at-noun-2,wn30:synset-object-noun-1,","wn30:synset-landing-noun-1 - frame:Architectural_part - frame:Being_included
wn30:synset-resource-noun-1 - frame:Possession
wn30:synset-show-verb-1 - frame:Cause_to_perceive - frame:Event
","wn30:synset-preview-noun-2
wn30:synset-page-noun-1
wn30:synset-web-noun-1
wn30:synset-at-noun-2
wn30:synset-object-noun-1
","wn30:synset-by-adverb-1
"
inferred_EDM7,25,Happened At Event Occured Time Span Place,[Happened At [P]] [Event [C]] [Occured At [P]] [Time Span [C]] [Place [C]] ,"frame:Eventive_affecting,frame:Event,frame:Event,frame:Eventive_affecting,frame:Event,frame:Location_in_time,frame:Timespan,frame:Event_instance,frame:Placing,frame:Causation,","wn30:synset-happen-verb-1,wn30:synset-at-noun-2,wn30:synset-event-noun-1,wn30:synset-happen-verb-1,wn30:synset-time-noun-1,wn30:synset-cross-verb-5,wn30:synset-put-verb-1,","wn30:synset-happen-verb-1 - frame:Eventive_affecting - frame:Event
wn30:synset-happen-verb-1 - frame:Event - frame:State
wn30:synset-event-noun-1 - frame:Event - frame:State
wn30:synset-happen-verb-1 - frame:Eventive_affecting - frame:Event
wn30:synset-happen-verb-1 - frame:Event - frame:State
wn30:synset-time-noun-1 - frame:Location_in_time
wn30:synset-time-noun-1 - frame:Timespan
wn30:synset-time-noun-1 - frame:Event_instance - frame:Instance
wn30:synset-put-verb-1 - frame:Placing - frame:Event
wn30:synset-put-verb-1 - frame:Causation - frame:Event
","wn30:synset-at-noun-2
wn30:synset-cross-verb-5
",
inferred_EDM3,3,Aggregated Cultural Heritage Object Aggregation Provided CHO,[Aggregated Cultural Heritage Object [P]] [Aggregation [C]] [Provided CHO [C]] ,"frame:Amounting_to,frame:Aggregate,frame:Assistance,","wn30:synset-sum-noun-5,wn30:synset-cultural-adjective-1,wn30:synset-heritage-noun-1,wn30:synset-object-noun-1,wn30:synset-collection-noun-1,wn30:synset-provide-verb-2,","wn30:synset-sum-noun-5 - frame:Amounting_to
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-provide-verb-2 - frame:Assistance - frame:Event
","wn30:synset-heritage-noun-1
wn30:synset-object-noun-1
","wn30:synset-cultural-adjective-1
"
inferred_EDM6,3,Web Resource Aggregation Has View,[Web Resource [C]] [Aggregation [C]] [Has View [P]] ,"frame:Possession,frame:Aggregate,frame:Range,","wn30:synset-web-noun-1,wn30:synset-resource-noun-1,wn30:synset-collection-noun-1,wn30:synset-position-noun-3,","wn30:synset-resource-noun-1 - frame:Possession
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-position-noun-3 - frame:Range
","wn30:synset-web-noun-1
",
inferred_EDM5,3,Provider Aggregation Agent Data,[Provider [P]] [Aggregation [C]] [Agent [C]] [Data Provider [P]] ,"frame:Supply,frame:Aggregate,frame:Information,","wn30:synset-supplier-noun-1,wn30:synset-collection-noun-1,wn30:synset-agent-noun-1,wn30:synset-data-noun-1,","wn30:synset-supplier-noun-1 - frame:Supply - frame:Event
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-data-noun-1 - frame:Information - frame:Entity
","wn30:synset-agent-noun-1
",
inferred_EDM1,97,source Has Met language has Version Incorporates Is Similar To Successor Of Derivative P79 beginning is qualified by format Collection Name coverage Format creator relation type P138 represents P67 refers to Europeana URI replaces Rights contributor date P129 about Next In Sequence publisher proxy For table Contents subject Replaced By aggregates P80 end Proxy,[source [P]] [Has Met [P]] [language [P]] [has Version [P]] [Incorporates [P]] [Is Similar To [P]] [Is Successor Of [P]] [Is Derivative Of [P]] [P79 beginning is qualified by [P]] [format [P]] [Collection Name [P]] [coverage [P]] [has Format [P]] [creator [P]] [relation [P]] [type [P]] [P138 represents [P]] [P67 refers to [P]] [Europeana URI [P]] [is Version Of [P]] [replaces [P]] [Europeana Rights [P]] [contributor [P]] [date [P]] [P129 is about [P]] [Is Next In Sequence Of [P]] [is Format Of [P]] [publisher [P]] [proxy For [P]] [table Of Contents [P]] [subject [P]] [is Replaced By [P]] [aggregates [P]] [P80 end is qualified by [P]] [Europeana Proxy [P]] ,"frame:Origin,frame:Communication,frame:Type,frame:Similarity,frame:Origin,frame:Evaluative_comparison,frame:Arranging,frame:Aggregate,frame:Referring_by_name,frame:Being_named,frame:Arranging,frame:Religious_belief,frame:Relation,frame:Type,frame:Topic,frame:Degree,frame:Relational_quantity,frame:Relative_time,frame:Sequence,frame:Topic,frame:Amounting_to,frame:Process_end,","wn30:synset-beginning-noun-4,wn30:synset-language-noun-1,wn30:synset-version-noun-2,wn30:synset-integrate-verb-1,wn30:synset-similar-adjective-1,wn30:synset-successor-noun-1,wn30:synset-derived_function-noun-1,wn30:synset-beginning-noun-4,wn30:synset-qualify-verb-1,wn30:synset-by-adverb-1,wn30:synset-format-verb-1,wn30:synset-collection-noun-1,wn30:synset-name-noun-1,wn30:synset-coverage-noun-1,wn30:synset-format-verb-1,wn30:synset-Godhead-noun-1,wn30:synset-relation-noun-1,wn30:synset-type-noun-1,wn30:synset-represent-verb-4,wn30:synset-refer-verb-2,wn30:synset-replace-verb-1,wn30:synset-subscriber-noun-3,wn30:synset-date-noun-1,wn30:synset-approximately-adverb-1,wn30:synset-following-adjectivesatellite-2,wn30:synset-in-adverb-1,wn30:synset-sequence-noun-1,wn30:synset-publisher-noun-1,wn30:synset-proxy-noun-2,wn30:synset-table-noun-1,wn30:synset-contents-noun-1,wn30:synset-subject-noun-1,wn30:synset-replace-verb-1,wn30:synset-by-adverb-1,wn30:synset-sum-noun-5,wn30:synset-end-verb-1,wn30:synset-proxy-noun-2,","wn30:synset-beginning-noun-4 - frame:Origin
wn30:synset-language-noun-1 - frame:Communication - frame:Event
wn30:synset-version-noun-2 - frame:Type
wn30:synset-similar-adjective-1 - frame:Similarity - frame:Attributesframe:Reciprocality
wn30:synset-beginning-noun-4 - frame:Origin
wn30:synset-qualify-verb-1 - frame:Evaluative_comparison - frame:Attributes
wn30:synset-format-verb-1 - frame:Arranging - frame:Event
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-name-noun-1 - frame:Referring_by_name
wn30:synset-name-noun-1 - frame:Being_named
wn30:synset-format-verb-1 - frame:Arranging - frame:Event
wn30:synset-Godhead-noun-1 - frame:Religious_belief
wn30:synset-relation-noun-1 - frame:Relation - frame:Locale
wn30:synset-type-noun-1 - frame:Type
wn30:synset-refer-verb-2 - frame:Topic
wn30:synset-approximately-adverb-1 - frame:Degree
wn30:synset-approximately-adverb-1 - frame:Relational_quantity
wn30:synset-following-adjectivesatellite-2 - frame:Relative_time - frame:Relation
wn30:synset-sequence-noun-1 - frame:Sequence - frame:Relation
wn30:synset-subject-noun-1 - frame:Topic
wn30:synset-sum-noun-5 - frame:Amounting_to
wn30:synset-end-verb-1 - frame:Process_end - frame:Event
","wn30:synset-integrate-verb-1
wn30:synset-successor-noun-1
wn30:synset-derived_function-noun-1
wn30:synset-coverage-noun-1
wn30:synset-represent-verb-4
wn30:synset-replace-verb-1
wn30:synset-subscriber-noun-3
wn30:synset-date-noun-1
wn30:synset-publisher-noun-1
wn30:synset-proxy-noun-2
wn30:synset-table-noun-1
wn30:synset-contents-noun-1
wn30:synset-replace-verb-1
wn30:synset-proxy-noun-2
","wn30:synset-by-adverb-1
wn30:synset-in-adverb-1
wn30:synset-by-adverb-1
"
inferred_EDM4,3,Aggregated Cultural Heritage Object Europeana Aggregation Provided CHO,[Aggregated Cultural Heritage Object [P]] [Europeana Aggregation [C]] [Provided CHO [C]] ,"frame:Amounting_to,frame:Aggregate,frame:Assistance,","wn30:synset-sum-noun-5,wn30:synset-cultural-adjective-1,wn30:synset-heritage-noun-1,wn30:synset-object-noun-1,wn30:synset-collection-noun-1,wn30:synset-provide-verb-2,","wn30:synset-sum-noun-5 - frame:Amounting_to
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-provide-verb-2 - frame:Assistance - frame:Event
","wn30:synset-heritage-noun-1
wn30:synset-object-noun-1
","wn30:synset-cultural-adjective-1
"
inferred_EDM8,46,Physical Thing Information Resource Is Representation Of Realizes,[Physical Thing [C]] [Information Resource [C]] [Is Representation Of [P]] [Realizes [P]] ,"frame:Information,frame:Possession,frame:Communicate_categorization,","wn30:synset-physical-adjective-1,wn30:synset-thing-noun-1,wn30:synset-information-noun-1,wn30:synset-resource-noun-1,wn30:synset-representation-noun-1,wn30:synset-recognize-verb-2,","wn30:synset-information-noun-1 - frame:Information - frame:Entity
wn30:synset-resource-noun-1 - frame:Possession
wn30:synset-representation-noun-1 - frame:Communicate_categorization
","wn30:synset-thing-noun-1
wn30:synset-recognize-verb-2
","wn30:synset-physical-adjective-1
"
inferred_NOMISMA1,21,hasMinDepth hasIconography hasPeculiarityOfProduction hasPeculiarity hasControlmark has Material hasAppearance hasShape hasManufacture hasCollection hasWidth represents Object Type hasEdge hasSecondaryTreatment hasEndDate Max Width Die hasTypeSeriesItem hasDate hasFindspot Axis hasHeight hasMinWidth Portrait hasCorrosion hasFace hasWear hasDepth hasProductionObject Diameter Issuer hasBearsDate hasReferenceWork hasAuthority hasCountermark Context hasMaxHeight hasStartDate hasProductionDate hasFindType hasReverse hasMinHeight hasStatedAuthority hasMaxDepth hasObjectType hasWeight hasMinDiameter Mintmark hasObverse hasWeightStandard hasDenomination hasMaxDiameter hasMint Legend,[hasMinDepth [P]] [hasIconography [P]] [hasPeculiarityOfProduction [P]] [hasPeculiarity [P]] [hasControlmark [P]] [has Material [P]] [hasAppearance [P]] [hasShape [P]] [hasManufacture [P]] [hasCollection [P]] [hasWidth [P]] [represents Object Type [P]] [hasEdge [P]] [hasSecondaryTreatment [P]] [hasEndDate [P]] [has Max Width [P]] [has Die [P]] [hasTypeSeriesItem [P]] [hasDate [P]] [hasFindspot [P]] [has Axis [P]] [hasHeight [P]] [hasMinWidth [P]] [has Portrait [P]] [hasCorrosion [P]] [hasFace [P]] [hasWear [P]] [hasDepth [P]] [hasProductionObject [P]] [has Diameter [P]] [has Issuer [P]] [hasBearsDate [P]] [hasReferenceWork [P]] [hasAuthority [P]] [hasCountermark [P]] [has Context [P]] [hasMaxHeight [P]] [hasStartDate [P]] [hasProductionDate [P]] [hasFindType [P]] [hasReverse [P]] [hasMinHeight [P]] [hasStatedAuthority [P]] [hasMaxDepth [P]] [hasObjectType [P]] [hasWeight [P]] [hasMinDiameter [P]] [has Mintmark [P]] [hasObverse [P]] [hasWeightStandard [P]] [hasDenomination [P]] [hasMaxDiameter [P]] [hasMint [P]] [has Legend [P]] ,"frame:Ingredients,frame:Substance,frame:Representing,frame:Type,frame:Dimension,frame:Rotting,frame:Death,","wn30:synset-material-noun-1,wn30:synset-represent-verb-1,wn30:synset-object-noun-1,wn30:synset-type-noun-1,wn30:synset-soap-noun-3,wn30:synset-width-noun-1,wn30:synset-die-verb-1,wn30:synset-axis-noun-1,wn30:synset-portrait-noun-2,wn30:synset-diameter-noun-1,wn30:synset-issuer-noun-1,wn30:synset-context-noun-1,wn30:synset-mintmark-noun-1,wn30:synset-legend-noun-1,","wn30:synset-material-noun-1 - frame:Ingredients
wn30:synset-material-noun-1 - frame:Substance - frame:Entity
wn30:synset-represent-verb-1 - frame:Representing
wn30:synset-type-noun-1 - frame:Type
wn30:synset-width-noun-1 - frame:Dimension
wn30:synset-die-verb-1 - frame:Rotting - frame:Event
wn30:synset-die-verb-1 - frame:Death - frame:Event
","wn30:synset-object-noun-1
wn30:synset-soap-noun-3
wn30:synset-axis-noun-1
wn30:synset-portrait-noun-2
wn30:synset-diameter-noun-1
wn30:synset-issuer-noun-1
wn30:synset-context-noun-1
wn30:synset-mintmark-noun-1
wn30:synset-legend-noun-1
",
inferred_NOMISMA2,0,StratigraphicUnit isEqual isBelow is Above,[StratigraphicUnit [C]] [isEqual [P]] [isBelow [P]] [is Above [P]] ,"none,","wn30:synset-above-adverb-1,",,,"wn30:synset-above-adverb-1
"
