number of communities: 363
number of nodes per community: [37, 35, 7, 49, 4, 2, 4, 3, 2, 6, 4, 4, 3, 2, 2, 2, 6, 4, 2, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 45, 3, 9, 8, 2, 5, 5, 5, 3, 5, 3, 6, 2, 5, 3, 7, 4, 3, 3, 3, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 3, 3, 24, 9, 7, 6, 25, 3, 7, 6, 5, 5, 5, 3, 3, 11, 7, 3, 9, 4, 3, 6, 6, 4, 3, 3, 3, 2, 2, 2, 2, 18, 6, 2, 2, 4, 4, 3, 2, 2, 12, 3, 3, 7, 5, 3, 7, 6, 3, 2, 4, 2, 2, 5, 4, 3, 5, 4, 2, 6, 3, 8, 7, 5, 4, 4, 3, 10, 9, 3, 3, 3, 3, 3, 3, 3, 3, 12, 3, 2, 10, 5, 8, 3, 6, 3, 7, 4, 4, 4, 9, 3, 3, 3, 2, 3, 2, 4, 6, 4, 3, 12, 12, 11, 10, 30, 5, 3, 3, 4, 4, 6, 3, 6, 3, 4, 4, 3, 3, 3, 6, 6, 2, 3, 2, 3, 2, 3, 3, 2, 4, 2, 4, 3, 3, 4, 3, 2, 5, 4, 5, 5, 2, 2, 3, 3, 3, 3, 5, 2, 2, 2, 10, 6, 5, 4, 7, 3, 2, 7, 4, 9, 2, 4, 3, 3, 6, 5, 3, 9, 4, 3, 5, 4, 3, 3, 9, 4, 10, 12, 3, 4, 3, 3, 6, 4, 3, 3, 10, 3, 8, 7, 5, 5, 6, 3, 3, 8, 6, 5, 5, 6, 3, 6, 6, 6, 5, 9, 8, 8, 7, 5, 3, 8, 7, 3, 3, 2, 3, 3, 5, 4, 8, 6, 3, 3, 3, 10, 3, 3, 3, 7, 5, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 5, 4, 4, 3, 3, 3, 2, 2, 3, 2, 4, 4, 2, 2, 2, 2, 3, 2, 13, 2, 2, 2, 2, 3, 8, 3, 10, 4, 2, 2, 2, 10, 10, 10, 10, 8, 7, 7, 6, 6, 6, 4, 4, 4, 3, 3, 3]
max number of nodes per community: 49
min number of nodes per community: 2
average number of nodes per community: 5.002754820936639
densities per graph: [0.012903225806451613, 0.05714285714285714, 0.2857142857142857, 0.038461538461538464, 0.4, 1.0, 0.5, 0.6666666666666666, 1.0, 0.2, 0.5, 0.5, 0.6666666666666666, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 1.0, 0.4, 0.4, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.6666666666666666, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.02, 0.6666666666666666, 0.2222222222222222, 0.18181818181818182, 1.0, 0.25, 0.4, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.2857142857142857, 1.0, 0.4, 0.6666666666666666, 0.2857142857142857, 0.4, 0.6666666666666666, 0.6666666666666666, 0.5, 0.4, 0.4, 0.4, 0.4, 0.5, 0.5, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.02631578947368421, 0.2, 0.2857142857142857, 0.3333333333333333, 0.07142857142857142, 0.6666666666666666, 0.25, 0.4, 0.4, 0.3333333333333333, 0.2857142857142857, 0.6666666666666666, 0.6666666666666666, 0.15384615384615385, 0.2222222222222222, 0.6666666666666666, 0.2, 0.2857142857142857, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.1111111111111111, 0.2222222222222222, 1.0, 1.0, 0.5, 0.2857142857142857, 0.6666666666666666, 1.0, 1.0, 0.13333333333333333, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.4, 0.6666666666666666, 0.2857142857142857, 0.25, 0.2857142857142857, 1.0, 0.4, 1.0, 1.0, 0.4, 0.5, 0.6666666666666666, 0.4, 0.4, 1.0, 0.2222222222222222, 0.6666666666666666, 0.2222222222222222, 0.2857142857142857, 0.4, 0.5, 0.3333333333333333, 0.6666666666666666, 0.2, 0.2222222222222222, 0.6666666666666666, 0.6666666666666666, 0.09523809523809523, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.13333333333333333, 0.6666666666666666, 1.0, 0.16666666666666666, 0.5, 0.2222222222222222, 0.6666666666666666, 0.25, 0.6666666666666666, 0.3333333333333333, 0.5, 0.5, 0.5, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5, 1.0, 0.4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.21212121212121213, 0.14285714285714285, 0.14285714285714285, 0.2, 0.029411764705882353, 0.4, 0.3333333333333333, 0.6666666666666666, 0.5, 0.5, 0.2857142857142857, 0.6666666666666666, 0.2857142857142857, 0.6666666666666666, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.2, 1.0, 0.5, 1.0, 0.6666666666666666, 0.2, 0.6666666666666666, 0.4, 1.0, 0.4, 1.0, 0.5, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 1.0, 0.4, 0.5, 0.4, 0.2857142857142857, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.4, 1.0, 0.2857142857142857, 1.0, 0.18181818181818182, 0.4, 0.5, 0.5, 0.2, 0.6666666666666666, 1.0, 0.25, 0.5, 0.2, 1.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.4, 0.4, 0.6666666666666666, 0.15384615384615385, 0.5, 0.6666666666666666, 0.2222222222222222, 0.5, 0.6666666666666666, 0.6666666666666666, 0.18181818181818182, 0.5, 0.24444444444444444, 0.11764705882352941, 0.6666666666666666, 0.2857142857142857, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 0.16666666666666666, 0.6666666666666666, 0.2, 0.25, 0.4, 0.5, 0.2, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.3333333333333333, 0.4, 0.4, 0.2857142857142857, 0.6666666666666666, 0.2857142857142857, 0.3333333333333333, 0.4, 0.4, 0.15384615384615385, 0.2857142857142857, 0.25, 0.3333333333333333, 0.25, 0.6666666666666666, 0.32142857142857145, 0.3333333333333333, 0.4, 0.5, 1.0, 0.5, 0.5, 0.4666666666666667, 0.4, 0.25, 0.18181818181818182, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.14285714285714285, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.25, 0.2, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.2857142857142857, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 0.4, 1.0, 0.6666666666666666, 1.0, 0.2857142857142857, 0.5, 0.4, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 0.24175824175824176, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.2222222222222222, 0.6666666666666666, 0.2222222222222222, 0.4, 1.0, 1.0, 1.0, 0.24444444444444444, 0.2222222222222222, 0.24444444444444444, 0.24444444444444444, 0.2777777777777778, 0.38095238095238093, 0.38095238095238093, 0.4, 0.4, 0.4, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]
max density per graph: 1.0
min density per graph: 0.012903225806451613
average density per graph: 0.5308040618854165
densities per digraph: [0.007959782153330541, 0.02857142857142857, 0.14285714285714285, 0.019230769230769232, 0.2, 0.5, 0.25, 0.3333333333333333, 0.5, 0.1, 0.25, 0.25, 0.3333333333333333, 0.5, 0.5, 0.5, 0.16666666666666666, 0.25, 0.5, 0.2, 0.2, 0.16666666666666666, 0.25, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.011515151515151515, 0.3333333333333333, 0.1111111111111111, 0.09090909090909091, 0.5, 0.125, 0.2, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.14285714285714285, 0.5, 0.2, 0.3333333333333333, 0.14285714285714285, 0.2, 0.3333333333333333, 0.3333333333333333, 0.25, 0.2, 0.2, 0.2, 0.2, 0.25, 0.25, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.013157894736842105, 0.1, 0.14285714285714285, 0.16666666666666666, 0.041005291005291, 0.3333333333333333, 0.125, 0.2, 0.2, 0.16666666666666666, 0.14285714285714285, 0.3333333333333333, 0.3333333333333333, 0.07692307692307693, 0.1111111111111111, 0.3333333333333333, 0.1, 0.14285714285714285, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.05555555555555555, 0.1111111111111111, 0.5, 0.5, 0.25, 0.14285714285714285, 0.3333333333333333, 0.5, 0.5, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.2, 0.3333333333333333, 0.14285714285714285, 0.125, 0.14285714285714285, 0.5, 0.2, 0.5, 0.5, 0.2, 0.25, 0.3333333333333333, 0.2, 0.2, 0.5, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.14285714285714285, 0.2, 0.25, 0.16666666666666666, 0.3333333333333333, 0.1, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.047619047619047616, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.06666666666666667, 0.3333333333333333, 0.5, 0.11363636363636363, 0.25, 0.1111111111111111, 0.3333333333333333, 0.125, 0.3333333333333333, 0.16666666666666666, 0.25, 0.25, 0.25, 0.08333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.2, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.10606060606060606, 0.07142857142857142, 0.07142857142857142, 0.1, 0.014705882352941176, 0.2, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.25, 0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.1, 0.5, 0.25, 0.5, 0.3333333333333333, 0.1, 0.3333333333333333, 0.2, 0.5, 0.2, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5, 0.2, 0.25, 0.2, 0.14285714285714285, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.2, 0.5, 0.14285714285714285, 0.5, 0.09090909090909091, 0.2, 0.25, 0.25, 0.1, 0.3333333333333333, 0.5, 0.125, 0.25, 0.1, 0.5, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.2, 0.2, 0.3333333333333333, 0.07692307692307693, 0.25, 0.3333333333333333, 0.1111111111111111, 0.25, 0.3333333333333333, 0.3333333333333333, 0.09090909090909091, 0.25, 0.12222222222222222, 0.058823529411764705, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.25, 0.3333333333333333, 0.3333333333333333, 0.08333333333333333, 0.3333333333333333, 0.1, 0.125, 0.2, 0.25, 0.1, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.16666666666666666, 0.2, 0.2, 0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 0.16666666666666666, 0.2, 0.2, 0.10256410256410256, 0.14285714285714285, 0.125, 0.16666666666666666, 0.125, 0.3333333333333333, 0.16071428571428573, 0.16666666666666666, 0.2, 0.25, 0.5, 0.25, 0.25, 0.23333333333333334, 0.2, 0.125, 0.09090909090909091, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.07142857142857142, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.125, 0.1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.2, 0.5, 0.3333333333333333, 0.5, 0.14285714285714285, 0.25, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.12087912087912088, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.2, 0.5, 0.5, 0.5, 0.12222222222222222, 0.1111111111111111, 0.12222222222222222, 0.12222222222222222, 0.1388888888888889, 0.19047619047619047, 0.19047619047619047, 0.2, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
max density per digraph: 0.5
min density per digraph: 0.007959782153330541
average density per digraph: 0.26590044705473853
community 1 : number of nodes 37; density of graph 0.012903225806451613; density of digraph 0.007959782153330541
community 2 : number of nodes 35; density of graph 0.05714285714285714; density of digraph 0.02857142857142857
community 3 : number of nodes 7; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 4 : number of nodes 49; density of graph 0.038461538461538464; density of digraph 0.019230769230769232
community 5 : number of nodes 4; density of graph 0.4; density of digraph 0.2
community 6 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 7 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 8 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 9 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 10 : number of nodes 6; density of graph 0.2; density of digraph 0.1
community 11 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 12 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 13 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 14 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 15 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 16 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 17 : number of nodes 6; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 18 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 19 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 20 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 21 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 22 : number of nodes 4; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 23 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 24 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 25 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 26 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 27 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 28 : number of nodes 3; density of graph 0.5; density of digraph 0.25
community 29 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 30 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 31 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 32 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 33 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 34 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 35 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 36 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 37 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 38 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 39 : number of nodes 45; density of graph 0.02; density of digraph 0.011515151515151515
community 40 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 41 : number of nodes 9; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 42 : number of nodes 8; density of graph 0.18181818181818182; density of digraph 0.09090909090909091
community 43 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 44 : number of nodes 5; density of graph 0.25; density of digraph 0.125
community 45 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 46 : number of nodes 5; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 47 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 48 : number of nodes 5; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 49 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 50 : number of nodes 6; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 51 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 52 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 53 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 54 : number of nodes 7; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 55 : number of nodes 4; density of graph 0.4; density of digraph 0.2
community 56 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 57 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 58 : number of nodes 3; density of graph 0.5; density of digraph 0.25
community 59 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 60 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 61 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 62 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 63 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 64 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 65 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 66 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 67 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 68 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 69 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 70 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 71 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 72 : number of nodes 24; density of graph 0.02631578947368421; density of digraph 0.013157894736842105
community 73 : number of nodes 9; density of graph 0.2; density of digraph 0.1
community 74 : number of nodes 7; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 75 : number of nodes 6; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 76 : number of nodes 25; density of graph 0.07142857142857142; density of digraph 0.041005291005291
community 77 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 78 : number of nodes 7; density of graph 0.25; density of digraph 0.125
community 79 : number of nodes 6; density of graph 0.4; density of digraph 0.2
community 80 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 81 : number of nodes 5; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 82 : number of nodes 5; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 83 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 84 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 85 : number of nodes 11; density of graph 0.15384615384615385; density of digraph 0.07692307692307693
community 86 : number of nodes 7; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 87 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 88 : number of nodes 9; density of graph 0.2; density of digraph 0.1
community 89 : number of nodes 4; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 90 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 91 : number of nodes 6; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 92 : number of nodes 6; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 93 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 94 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 95 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 96 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 97 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 98 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 99 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 100 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 101 : number of nodes 18; density of graph 0.1111111111111111; density of digraph 0.05555555555555555
community 102 : number of nodes 6; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 103 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 104 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 105 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 106 : number of nodes 4; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 107 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 108 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 109 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 110 : number of nodes 12; density of graph 0.13333333333333333; density of digraph 0.06666666666666667
community 111 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 112 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 113 : number of nodes 7; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 114 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 115 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 116 : number of nodes 7; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 117 : number of nodes 6; density of graph 0.25; density of digraph 0.125
community 118 : number of nodes 3; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 119 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 120 : number of nodes 4; density of graph 0.4; density of digraph 0.2
community 121 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 122 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 123 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 124 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 125 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 126 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 127 : number of nodes 4; density of graph 0.4; density of digraph 0.2
community 128 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 129 : number of nodes 6; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 130 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 131 : number of nodes 8; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 132 : number of nodes 7; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 133 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 134 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 135 : number of nodes 4; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 136 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 137 : number of nodes 10; density of graph 0.2; density of digraph 0.1
community 138 : number of nodes 9; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 139 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 140 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 141 : number of nodes 3; density of graph 0.09523809523809523; density of digraph 0.047619047619047616
community 142 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 143 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 144 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 145 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 146 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 147 : number of nodes 12; density of graph 0.13333333333333333; density of digraph 0.06666666666666667
community 148 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 149 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 150 : number of nodes 10; density of graph 0.16666666666666666; density of digraph 0.11363636363636363
community 151 : number of nodes 5; density of graph 0.5; density of digraph 0.25
community 152 : number of nodes 8; density of graph 0.2222222222222222; density of digraph 0.1111111111111111
community 153 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 154 : number of nodes 6; density of graph 0.25; density of digraph 0.125
community 155 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 156 : number of nodes 7; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 157 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 158 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 159 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 160 : number of nodes 9; density of graph 0.16666666666666666; density of digraph 0.08333333333333333
community 161 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 162 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 163 : number of nodes 3; density of graph 0.5; density of digraph 0.25
community 164 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 165 : number of nodes 3; density of graph 0.4; density of digraph 0.2
community 166 : number of nodes 2; density of graph 1.0; density of digraph 0.5
community 167 : number of nodes 4; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 168 : number of nodes 6; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 169 : number of nodes 4; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 170 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 171 : number of nodes 12; density of graph 0.21212121212121213; density of digraph 0.10606060606060606
community 172 : number of nodes 12; density of graph 0.14285714285714285; density of digraph 0.07142857142857142
community 173 : number of nodes 11; density of graph 0.14285714285714285; density of digraph 0.07142857142857142
community 174 : number of nodes 10; density of graph 0.2; density of digraph 0.1
community 175 : number of nodes 30; density of graph 0.029411764705882353; density of digraph 0.014705882352941176
community 176 : number of nodes 5; density of graph 0.4; density of digraph 0.2
community 177 : number of nodes 3; density of graph 0.3333333333333333; density of digraph 0.16666666666666666
community 178 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 179 : number of nodes 4; density of graph 0.5; density of digraph 0.3333333333333333
community 180 : number of nodes 4; density of graph 0.5; density of digraph 0.25
community 181 : number of nodes 6; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 182 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
community 183 : number of nodes 6; density of graph 0.2857142857142857; density of digraph 0.14285714285714285
community 184 : number of nodes 3; density of graph 0.6666666666666666; density of digraph 0.3333333333333333
