uri,text
http://cmt#detailsEnteredBy,details Entered By 
http://cmt#virtualMeetingEnabledBy,virtual Meeting Enabled By 
http://cmt#Administrator,Administrator 
http://cmt#Conference,Conference 
http://cmt#enterReviewCriteria,enter Review Criteria 
http://cmt#paperAssignmentToolsRunBy,paper Assignment Tools Run By 
http://cmt#runPaperAssignmentTools,run Paper Assignment Tools 
http://cmt#hardcopyMailingManifestsPrintedBy,hardcopy Mailing Manifests Printed By 
http://cmt#reviewCriteriaEnteredBy,review Criteria Entered By 
http://cmt#printHardcopyMailingManifests,print Hardcopy Mailing Manifests 
http://cmt#enterConferenceDetails,enter Conference Details 
http://cmt#paperAssignmentFinalizedBy,paper Assignment Finalized By 
http://cmt#startReviewerBidding,start Reviewer Bidding 
http://cmt#reviewerBiddingStartedBy,reviewer Bidding Started By 
http://cmt#finalizePaperAssignment,finalize Paper Assignment 
http://cmt#enableVirtualMeeting,enable Virtual Meeting 
