uri,text
http://iasted#need,need 
http://iasted#is_prepared_by,is prepared by 
http://iasted#is_used_by,is used by 
http://iasted#is_needed_for,is needed for 
http://iasted#is_writen_by,is writen by 
http://iasted#is_made_from,is made from 
http://iasted#send,send 
http://iasted#is_signed_by,is signed by 
http://iasted#is_given_to,is given to 
http://iasted#obtain,obtain 
http://iasted#prepare,prepare 
http://iasted#Item,Item 
http://iasted#is_sent_by,is sent by 
http://iasted#sign,sign 
http://iasted#Person,Person 
http://iasted#write,write 
