uri,text
http://paperdyne#assignedBy,assigned By 
http://paperdyne#views,views 
http://paperdyne#coveredBy,covered By 
http://paperdyne#coauthorsWith,coauthors With 
http://paperdyne#covers,covers 
http://paperdyne#hasConflictType,has Conflict Type 
http://paperdyne#judges,judges 
http://paperdyne#contains,contains 
http://paperdyne#assigns,assigns 
http://paperdyne#proposes,proposes 
http://paperdyne#memberOf,member Of 
http://paperdyne#speaks,speaks 
http://paperdyne#hasMembers,has Members 
http://paperdyne#manages,manages 
http://paperdyne#organisedBy,organised By 
http://paperdyne#submittedBy,submitted By 
http://paperdyne#relates,relates 
http://paperdyne#isInConflictWith,is In Conflict With 
http://paperdyne#submits,submits 
http://paperdyne#spokenBy,spoken By 
http://paperdyne#organises,organises 
http://paperdyne#conflictViewedBy,conflict Viewed By 
http://paperdyne#blockAssigningToReviewer,block Assigning To Reviewer 
http://paperdyne#visibleBy,visible By 
http://paperdyne#createdBy,created By 
http://paperdyne#cooperates,cooperates 
http://paperdyne#creates,creates 
http://paperdyne#managedBy,managed By 
http://paperdyne#proposedBy,proposed By 
