community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_paperdyne11,51,starts Program Comitee Chair organises Conference started By finishes organised finished,[starts [P]] [Program Comitee Chair [C]] [organises [P]] [Conference [C]] [started By [P]] [finishes [P]] [organised By [P]] [finished By [P]] ,"frame:Process_start,frame:Setting_out,frame:Activity_start,frame:Project,frame:Purpose,frame:Discussion,frame:Process_start,frame:Setting_out,frame:Activity_start,frame:Activity_finish,frame:Activity_finish,","wn30:synset-get_down-verb-7,wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-organize-verb-4,wn30:synset-conference-noun-1,wn30:synset-get_down-verb-7,wn30:synset-by-adverb-1,wn30:synset-complete-verb-1,wn30:synset-organize-verb-4,wn30:synset-complete-verb-1,","wn30:synset-get_down-verb-7 - frame:Process_start - frame:Event
wn30:synset-get_down-verb-7 - frame:Setting_out - frame:Event
wn30:synset-get_down-verb-7 - frame:Activity_start - frame:Event
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality
wn30:synset-get_down-verb-7 - frame:Process_start - frame:Event
wn30:synset-get_down-verb-7 - frame:Setting_out - frame:Event
wn30:synset-get_down-verb-7 - frame:Activity_start - frame:Event
wn30:synset-complete-verb-1 - frame:Activity_finish - frame:Event
wn30:synset-complete-verb-1 - frame:Activity_finish - frame:Event
","wn30:synset-chair-noun-1
wn30:synset-organize-verb-4
wn30:synset-organize-verb-4
","wn30:synset-by-adverb-1
"
inferred_paperdyne8,75,assigned By views covered coauthors With covers has Conflict Type judges contains assigns proposes member Of speaks Members manages organised submitted relates is In submits spoken organises conflict Viewed block Assigning To Reviewer visible created cooperates creates managed proposed,[assigned By [P]] [views [P]] [covered By [P]] [coauthors With [P]] [covers [P]] [has Conflict Type [P]] [judges [P]] [contains [P]] [assigns [P]] [proposes [P]] [member Of [P]] [speaks [P]] [has Members [P]] [manages [P]] [organised By [P]] [submitted By [P]] [relates [P]] [is In Conflict With [P]] [submits [P]] [spoken By [P]] [organises [P]] [conflict Viewed By [P]] [block Assigning To Reviewer [P]] [visible By [P]] [created By [P]] [cooperates [P]] [creates [P]] [managed By [P]] [proposed By [P]] ,"frame:Appointing,frame:Range,frame:Filling,frame:Adorning,frame:Filling,frame:Adorning,frame:Hostile_encounter,frame:Type,frame:Assessing,frame:Containing,frame:Inclusion,frame:Appointing,frame:Statement,frame:Membership,frame:Communication_manner,frame:Text_creation,frame:Statement,frame:Membership,frame:Successful_action,frame:Operating_a_system,frame:Success_or_failure,frame:Submitting_documents,frame:Topic,frame:Submitting_documents,frame:Communication_manner,frame:Text_creation,frame:Statement,frame:Hostile_encounter,frame:Range,frame:Appointing,frame:Obviousness,frame:Building,frame:Creating,frame:Intentionally_create,frame:Cause_to_start,frame:Coming_up_with,frame:Collaboration,frame:Building,frame:Creating,frame:Intentionally_create,frame:Cause_to_start,frame:Coming_up_with,frame:Successful_action,frame:Operating_a_system,frame:Success_or_failure,frame:Statement,","wn30:synset-delegate-verb-2,wn30:synset-by-adverb-1,wn30:synset-position-noun-3,wn30:synset-cover-verb-1,wn30:synset-coauthor-noun-1,wn30:synset-cover-verb-1,wn30:synset-conflict-noun-1,wn30:synset-type-noun-1,wn30:synset-evaluate-verb-2,wn30:synset-incorporate-verb-2,wn30:synset-delegate-verb-2,wn30:synset-propose-verb-1,wn30:synset-member-noun-1,wn30:synset-talk-verb-2,wn30:synset-member-noun-1,wn30:synset-pull_off-verb-3,wn30:synset-organize-verb-4,wn30:synset-submit-verb-1,wn30:synset-refer-verb-2,wn30:synset-in-adverb-1,wn30:synset-submit-verb-1,wn30:synset-talk-verb-2,wn30:synset-organize-verb-4,wn30:synset-conflict-noun-1,wn30:synset-position-noun-3,wn30:synset-block-noun-1,wn30:synset-delegate-verb-2,wn30:synset-reviewer-noun-1,wn30:synset-visible-adjective-1,wn30:synset-make-verb-3,wn30:synset-collaborate-verb-1,wn30:synset-make-verb-3,wn30:synset-pull_off-verb-3,wn30:synset-propose-verb-1,","wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-position-noun-3 - frame:Range
wn30:synset-cover-verb-1 - frame:Filling - frame:Event
wn30:synset-cover-verb-1 - frame:Adorning
wn30:synset-cover-verb-1 - frame:Filling - frame:Event
wn30:synset-cover-verb-1 - frame:Adorning
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-type-noun-1 - frame:Type
wn30:synset-evaluate-verb-2 - frame:Assessing - frame:Cogitation
wn30:synset-incorporate-verb-2 - frame:Containing - frame:Stateframe:Relation
wn30:synset-incorporate-verb-2 - frame:Inclusion
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-propose-verb-1 - frame:Statement
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included
wn30:synset-talk-verb-2 - frame:Communication_manner - frame:Event
wn30:synset-talk-verb-2 - frame:Text_creation - frame:Event
wn30:synset-talk-verb-2 - frame:Statement
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included
wn30:synset-pull_off-verb-3 - frame:Successful_action
wn30:synset-pull_off-verb-3 - frame:Operating_a_system - frame:Event
wn30:synset-pull_off-verb-3 - frame:Success_or_failure
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event
wn30:synset-refer-verb-2 - frame:Topic
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event
wn30:synset-talk-verb-2 - frame:Communication_manner - frame:Event
wn30:synset-talk-verb-2 - frame:Text_creation - frame:Event
wn30:synset-talk-verb-2 - frame:Statement
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-position-noun-3 - frame:Range
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-visible-adjective-1 - frame:Obviousness - frame:Attributes
wn30:synset-make-verb-3 - frame:Building - frame:Event
wn30:synset-make-verb-3 - frame:Creating - frame:Event
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event
wn30:synset-make-verb-3 - frame:Coming_up_with
wn30:synset-collaborate-verb-1 - frame:Collaboration - frame:Eventframe:Reciprocality
wn30:synset-make-verb-3 - frame:Building - frame:Event
wn30:synset-make-verb-3 - frame:Creating - frame:Event
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event
wn30:synset-make-verb-3 - frame:Coming_up_with
wn30:synset-pull_off-verb-3 - frame:Successful_action
wn30:synset-pull_off-verb-3 - frame:Operating_a_system - frame:Event
wn30:synset-pull_off-verb-3 - frame:Success_or_failure
wn30:synset-propose-verb-1 - frame:Statement
","wn30:synset-coauthor-noun-1
wn30:synset-organize-verb-4
wn30:synset-organize-verb-4
wn30:synset-block-noun-1
wn30:synset-reviewer-noun-1
","wn30:synset-by-adverb-1
wn30:synset-in-adverb-1
"
inferred_paperdyne20,44,Program Comitee Chair Conflict Of Interest views managed By Rules manages visible,[Program Comitee Chair [C]] [Conflict Of Interest [C]] [views [P]] [managed By [P]] [Conflict Rules [C]] [manages [P]] [visible By [P]] ,"frame:Project,frame:Purpose,frame:Hostile_encounter,frame:Emotion_directed,frame:Successful_action,frame:Operating_a_system,frame:Success_or_failure,frame:Custom,frame:Successful_action,frame:Operating_a_system,frame:Success_or_failure,frame:Obviousness,","wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-conflict-noun-1,wn30:synset-interest-noun-1,wn30:synset-view-noun-3,wn30:synset-pull_off-verb-3,wn30:synset-by-adverb-1,wn30:synset-convention-noun-2,wn30:synset-pull_off-verb-3,wn30:synset-visible-adjective-1,","wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-interest-noun-1 - frame:Emotion_directed
wn30:synset-pull_off-verb-3 - frame:Successful_action
wn30:synset-pull_off-verb-3 - frame:Operating_a_system - frame:Event
wn30:synset-pull_off-verb-3 - frame:Success_or_failure
wn30:synset-convention-noun-2 - frame:Custom
wn30:synset-pull_off-verb-3 - frame:Successful_action
wn30:synset-pull_off-verb-3 - frame:Operating_a_system - frame:Event
wn30:synset-pull_off-verb-3 - frame:Success_or_failure
wn30:synset-visible-adjective-1 - frame:Obviousness - frame:Attributes
","wn30:synset-chair-noun-1
wn30:synset-view-noun-3
","wn30:synset-by-adverb-1
"
inferred_paperdyne14,6,Author Paper Proposed Conflict block Assigning To Reviewer visible By conflict,[Author [C]] [Paper [C]] [Proposed Conflict [C]] [block Assigning To Reviewer [P]] [visible By [P]] [conflict Proposed By [P]] ,"frame:Statement,frame:Hostile_encounter,frame:Appointing,frame:Obviousness,frame:Hostile_encounter,","wn30:synset-writer-noun-1,wn30:synset-paper-noun-1,wn30:synset-propose-verb-1,wn30:synset-conflict-noun-1,wn30:synset-block-noun-1,wn30:synset-delegate-verb-2,wn30:synset-reviewer-noun-1,wn30:synset-visible-adjective-1,wn30:synset-by-adverb-1,wn30:synset-conflict-noun-1,","wn30:synset-propose-verb-1 - frame:Statement
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-visible-adjective-1 - frame:Obviousness - frame:Attributes
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
","wn30:synset-writer-noun-1
wn30:synset-paper-noun-1
wn30:synset-block-noun-1
wn30:synset-reviewer-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne10,66,Program Comitee Chair discusses Paper member Of Reviewer has Members head discussed By,[Program Comitee Chair [C]] [discusses [P]] [Paper [C]] [Program Comitee [C]] [member Of [P]] [Reviewer [C]] [has Members [P]] [head Of [P]] [discussed By [P]] ,"frame:Project,frame:Purpose,frame:Topic,frame:Speak_on_topic,frame:Membership,frame:Membership,frame:Observable_body_parts,frame:Topic,frame:Speak_on_topic,","wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-discourse-verb-1,wn30:synset-paper-noun-1,wn30:synset-member-noun-1,wn30:synset-reviewer-noun-1,wn30:synset-member-noun-1,wn30:synset-head-noun-1,wn30:synset-discourse-verb-1,wn30:synset-by-adverb-1,","wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-discourse-verb-1 - frame:Topic
wn30:synset-discourse-verb-1 - frame:Speak_on_topic
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included
wn30:synset-head-noun-1 - frame:Observable_body_parts
wn30:synset-discourse-verb-1 - frame:Topic
wn30:synset-discourse-verb-1 - frame:Speak_on_topic
","wn30:synset-chair-noun-1
wn30:synset-paper-noun-1
wn30:synset-reviewer-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne9,14,Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review,[Program Comitee Chair [C]] [accepts [P]] [assigned Paper By [P]] [Paper [C]] [accepted By [P]] [Reviewer [C]] [rejected By [P]] [assigns Paper [P]] [assigned To Review By [P]] [assigns To Review [P]] ,"frame:Project,frame:Purpose,frame:Receiving,frame:Respond_to_proposal,frame:Appointing,frame:Receiving,frame:Respond_to_proposal,frame:Agree_or_refuse_to_act,frame:Respond_to_proposal,frame:Appointing,","wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-accept-verb-2,wn30:synset-delegate-verb-2,wn30:synset-paper-noun-1,wn30:synset-by-adverb-1,wn30:synset-accept-verb-2,wn30:synset-reviewer-noun-1,wn30:synset-refuse-verb-2,wn30:synset-delegate-verb-2,wn30:synset-review-verb-1,","wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-accept-verb-2 - frame:Receiving - frame:Event
wn30:synset-accept-verb-2 - frame:Respond_to_proposal
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-accept-verb-2 - frame:Receiving - frame:Event
wn30:synset-accept-verb-2 - frame:Respond_to_proposal
wn30:synset-refuse-verb-2 - frame:Agree_or_refuse_to_act - frame:Respond_to_proposal
wn30:synset-refuse-verb-2 - frame:Respond_to_proposal
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
","wn30:synset-chair-noun-1
wn30:synset-paper-noun-1
wn30:synset-reviewer-noun-1
wn30:synset-review-verb-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne21,3,has Name Conference Acronym Email Person,[has Name [P]] [Conference [C]] [has Acronym [P]] [has Email [P]] [Person [C]] ,"frame:Referring_by_name,frame:Being_named,frame:Discussion,frame:People,","wn30:synset-name-noun-1,wn30:synset-conference-noun-1,wn30:synset-acronym-noun-1,wn30:synset-electronic_mail-noun-1,wn30:synset-person-noun-1,","wn30:synset-name-noun-1 - frame:Referring_by_name
wn30:synset-name-noun-1 - frame:Being_named
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality
wn30:synset-person-noun-1 - frame:People - frame:Entity
","wn30:synset-acronym-noun-1
wn30:synset-electronic_mail-noun-1
",
inferred_paperdyne15,75,proposes views Main Author Proposed Conflict proposed By,[proposes [P]] [views [P]] [Main Author [C]] [Proposed Conflict [C]] [proposed By [P]] ,"frame:Statement,frame:Range,frame:Expertise,frame:Importance,frame:First_rank,frame:Statement,frame:Hostile_encounter,frame:Statement,","wn30:synset-propose-verb-1,wn30:synset-position-noun-3,wn30:synset-chief-adjectivesatellite-1,wn30:synset-writer-noun-1,wn30:synset-propose-verb-1,wn30:synset-conflict-noun-1,wn30:synset-propose-verb-1,wn30:synset-by-adverb-1,","wn30:synset-propose-verb-1 - frame:Statement
wn30:synset-position-noun-3 - frame:Range
wn30:synset-chief-adjectivesatellite-1 - frame:Expertise - frame:Attributes
wn30:synset-chief-adjectivesatellite-1 - frame:Importance
wn30:synset-chief-adjectivesatellite-1 - frame:First_rank
wn30:synset-propose-verb-1 - frame:Statement
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-propose-verb-1 - frame:Statement
","wn30:synset-writer-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne13,71,Program Comitee Chair switches Phase Of Conference Preparation,[Program Comitee Chair [C]] [switches [P]] [Phase Of Conference Preparation [C]] ,"frame:Project,frame:Purpose,frame:Time_period_of_action,frame:Discussion,","wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-switch_over-verb-1,wn30:synset-phase-noun-1,wn30:synset-conference-noun-1,wn30:synset-preparation-noun-1,","wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-phase-noun-1 - frame:Time_period_of_action - frame:Timespan
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality
","wn30:synset-chair-noun-1
wn30:synset-switch_over-verb-1
wn30:synset-preparation-noun-1
",
inferred_paperdyne16,75,Main Author Co- coauthors With,[Main Author [C]] [Co- Author [C]] [coauthors With [P]] ,"frame:Expertise,frame:Importance,frame:First_rank,","wn30:synset-chief-adjectivesatellite-1,wn30:synset-writer-noun-1,wn30:synset-Colorado-noun-1,wn30:synset-coauthor-noun-1,","wn30:synset-chief-adjectivesatellite-1 - frame:Expertise - frame:Attributes
wn30:synset-chief-adjectivesatellite-1 - frame:Importance
wn30:synset-chief-adjectivesatellite-1 - frame:First_rank
","wn30:synset-writer-noun-1
wn30:synset-Colorado-noun-1
wn30:synset-coauthor-noun-1
",
