 "f" , "topLevelAnchestor" ,
 "https://w3id.org/framester/framenet/abox/frame/Duplication" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Expected_location_of_person" , "https://w3id.org/framester/framenet/abox/frame/State https://w3id.org/framester/framenet/abox/frame/Relation" ,
 "https://w3id.org/framester/framenet/abox/frame/Ambient_temperature" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Law" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Surviving" , "https://w3id.org/framester/framenet/abox/frame/Success_or_failure" ,
 "https://w3id.org/framester/framenet/abox/frame/Emotions_success_or_failure" , "https://w3id.org/framester/framenet/abox/frame/State" ,
 "https://w3id.org/framester/framenet/abox/frame/Subsisting" , "https://w3id.org/framester/framenet/abox/frame/State" ,
 "https://w3id.org/framester/framenet/abox/frame/Besieging" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Rashness" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Education_teaching" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Cause_emotion" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Being_incarcerated" , "https://w3id.org/framester/framenet/abox/frame/Being_in_captivity" ,
 "https://w3id.org/framester/framenet/abox/frame/Dominate_competitor" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Apply_heat" , "https://w3id.org/framester/framenet/abox/frame/Event https://w3id.org/framester/framenet/abox/frame/Process" ,
 "https://w3id.org/framester/framenet/abox/frame/Visitor_and_host" , "https://w3id.org/framester/framenet/abox/frame/Visiting_scenario" ,
 "https://w3id.org/framester/framenet/abox/frame/Cutting" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Building" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Roadways" , "https://w3id.org/framester/framenet/abox/frame/Locale" ,
 "https://w3id.org/framester/framenet/abox/frame/Abandonment" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Resolve_problem" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Heralding" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Cause_to_resume" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Speed_description" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Attaching" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Attempt_suasion" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Erasing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Activity_pause" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Active_substance" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Desirability" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Breaking_out_captive" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Posture" , "https://w3id.org/framester/framenet/abox/frame/State" ,
 "https://w3id.org/framester/framenet/abox/frame/Proximity_image_schema" , "https://w3id.org/framester/framenet/abox/frame/Image_schema" ,
 "https://w3id.org/framester/framenet/abox/frame/Body_description_holistic" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Locale_by_characteristic_entity" , "https://w3id.org/framester/framenet/abox/frame/Locale" ,
 "https://w3id.org/framester/framenet/abox/frame/Exchange_currency" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Attempt_distant_interaction_scenario" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Team" , "https://w3id.org/framester/framenet/abox/frame/Aggregate" ,
 "https://w3id.org/framester/framenet/abox/frame/Infecting" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Filling" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Part_ordered_segments" , "https://w3id.org/framester/framenet/abox/frame/Being_included" ,
 "https://w3id.org/framester/framenet/abox/frame/Cause_to_end" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Medical_conditions" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Undergo_transformation" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Tasting" , "https://w3id.org/framester/framenet/abox/frame/Scrutiny" ,
 "https://w3id.org/framester/framenet/abox/frame/Compatibility" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Representative" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Intoxicants" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Transition_to_a_quality" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Body_parts" , "https://w3id.org/framester/framenet/abox/frame/Being_included" ,
 "https://w3id.org/framester/framenet/abox/frame/Retaining" , "https://w3id.org/framester/framenet/abox/frame/Process_continue https://w3id.org/framester/framenet/abox/frame/Possession" ,
 "https://w3id.org/framester/framenet/abox/frame/Relational_location" , "https://w3id.org/framester/framenet/abox/frame/Locale" ,
 "https://w3id.org/framester/framenet/abox/frame/Losing_someone" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Front_for" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Traversing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Measure_volume" , "https://w3id.org/framester/framenet/abox/frame/Measures" ,
 "https://w3id.org/framester/framenet/abox/frame/Measure_area" , "https://w3id.org/framester/framenet/abox/frame/Measures" ,
 "https://w3id.org/framester/framenet/abox/frame/Expertise" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Manipulate_into_doing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Event_endstate" , "https://w3id.org/framester/framenet/abox/frame/State" ,
 "https://w3id.org/framester/framenet/abox/frame/Intoxication" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Indicating" , "https://w3id.org/framester/framenet/abox/frame/Mention" ,
 "https://w3id.org/framester/framenet/abox/frame/Judgment_of_intensity" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Setting_out" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Pre_transfer" , "https://w3id.org/framester/framenet/abox/frame/Possession" ,
 "https://w3id.org/framester/framenet/abox/frame/Transportation_status" , "https://w3id.org/framester/framenet/abox/frame/State" ,
 "https://w3id.org/framester/framenet/abox/frame/Difficulty" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Encounter" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Hospitality" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Product_line" , "https://w3id.org/framester/framenet/abox/frame/Aggregate" ,
 "https://w3id.org/framester/framenet/abox/frame/Artifact" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Pre_receiving" , "https://w3id.org/framester/framenet/abox/frame/Possession" ,
 "https://w3id.org/framester/framenet/abox/frame/Gesture" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Adjacency" , "https://w3id.org/framester/framenet/abox/frame/State https://w3id.org/framester/framenet/abox/frame/Relation" ,
 "https://w3id.org/framester/framenet/abox/frame/Translating" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Use_firearm" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Downing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Rescuing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Manufacturing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Revenge" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Post_receiving" , "https://w3id.org/framester/framenet/abox/frame/Possession" ,
 "https://w3id.org/framester/framenet/abox/frame/Avoiding" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Fear" , "https://w3id.org/framester/framenet/abox/frame/State" ,
